RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,100514,76449.04,6089.519,,,,,,,6213.634
100,1,994,1235.314,2.273,,,,,,,
100,2,1360,1697.208,1.885,,,,,,,
100,3,1322,1697.650,2.748,,,,,,,
100,4,1025,1166.370,0.867,,,,,,,
100,5,782,808.645,2.117,,,,,,,
100,6,688,928.878,5.091,,,,,,,
90,0,149585,160262.3,63953.09,2290,15294.50,9.591,2,27847.52,6836991,37633.20
90,1,297,319.042,0.547,,,,,,,
90,2,1740,2067.855,1.992,,,,,,,
90,3,2377,3031.558,9.190,,,,,,,
90,4,1660,2097.373,1.997,,,,,,,
90,5,1172,1422.521,1.812,,,,,,,
90,6,558,843.065,3.904,35,228.944,6.384,,,,
80,0,160468,171841.8,162580.2,1724,11949.82,2.507,4,49663.89,1104996,43503.82
80,1,1428,1660.650,1.692,,,,,,,
80,2,831,1049.872,2.403,16,102.443,2.029,,,,
80,3,1469,1828.446,1.987,,,,,,,
80,4,1275,1681.992,4.655,,,,,,,
80,5,1022,1169.785,3.099,,,,,,,
80,6,3481,3638.826,22.631,,,,,,,
70,0,166370,182973.1,130881.1,1295,8857.991,1.669,5,59551.06,1941662,49747.68
70,1,1268,1833.401,38.302,16,105.131,2.191,,,,
70,2,662,838.406,2.484,,,,,,,
70,3,1239,1576.691,1.649,,,,,,,
70,4,1306,1600.952,2.259,,,,,,,
70,5,682,634.265,1.633,,,,,,,
70,6,3887,3880.436,41.187,,,,,,,
60,0,169081,188926.4,331798.2,569,3943.510,1.790,5,41048.01,14795166,54705.53
60,1,3654,3616.159,186.104,,,,,,,
60,2,1436,1748.832,1.571,,,,,,,
60,3,2141,2818.632,32.847,,,,,,,
60,4,1626,2159.624,2.514,,,,,,,
60,5,1197,1527.563,2.125,,,,,,,
60,6,459,737.608,7.429,32,246.524,37.360,,,,
50,0,201889,227507.2,103447.5,3159,21176.84,115.224,6,59992.69,42944421,58239.40
50,1,689,789.347,0.756,,,,,,,
50,2,614,703.953,1.096,,,,,,,
50,3,1869,2562.787,1.383,,,,,,,
50,4,2084,2638.007,204.864,,,,,,,
50,5,1248,1638.686,3.054,,,,,,,
50,6,1333,1549.016,1.106,,,,,,,
40,0,1207683,1149080,4070517,13691,89118.80,130.278,5,42529.29,17065340,356526.2
40,1,1443,1699.468,1.797,,,,,,,
40,2,636,756.207,2.817,,,,,,,
40,3,680,928.843,2.806,,,,,,,
40,4,128,134.757,0.213,,,,,,,
40,5,2564,3535.461,5.877,,,,,,,
40,6,1998,2376.380,1.258,,,,,,,
30,0,1380395,1484805,8916671,81,606.558,5.758,4,48191.34,15474883,576345.4
30,1,1265,1656.284,2.299,,,,,,,
30,2,718,864.120,1.297,,,,,,,
30,3,805,1024.271,2.419,,,,,,,
30,4,919,1251.978,3.440,9,63.572,2.596,,,,
30,5,56,74.645,0.293,,,,,,,
30,6,2573,3274.727,4.463,,,,,,,
20,0,1381770,1497825,4020842,58,472.199,25.102,5,44575.69,4695711,582471.5
20,1,729,940.394,1.550,,,,,,,
20,2,5338,6169.668,99.408,,,,,,,
20,3,2797,3627.850,4.363,,,,,,,
20,4,3622,4404.013,88.204,9,63.699,2.312,,,,
20,5,3041,3634.412,23.531,,,,,,,
20,6,601,684.899,1.694,,,,,,,
10,0,1489474,1955634,48969570,51325,342942.2,4528.094,5,37282.75,202482.3,603426.0
10,1,2587,3277.425,6.613,,,,,,,
10,2,2167,3329.683,50.949,,,,,,,
10,3,1816,2206.888,1.219,,,,,,,
10,4,2056,2646.499,2.472,,,,,,,
10,5,612,777.790,2.324,,,,,,,
10,6,210,224.885,0.376,,,,,,,
5,0,1911460,2563012,8573236,76663,495831.9,16414.24,7,33972.33,145365.3,830601.4
5,1,2155,2572.100,17.875,8,56.093,1.964,,,,
5,2,2132,3098.125,44.278,,,,,,,
5,3,1772,2204.107,2.025,,,,,,,
5,4,1796,2216.887,1.779,,,,,,,
5,5,399,515.557,1.715,,,,,,,
5,6,161,196.100,0.437,,,,,,,
