TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,599168,43244520
417,12107836,229319168
520,17442992,241100788
623,19575212,243941532
726,26276712,249542224
830,31709524,257473068
933,43925840,277898836
1036,44885400,278310420
1139,53363292,280044624
1242,63552892,280218524
1345,71791356,280363468
1448,85640540,280599824
1551,85640540,280599824
1655,95830140,280773724
1758,103851740,280910624
1861,118452152,282782720
1965,120571008,282993940
2068,130803944,286204296
2171,139048916,286805360
2274,155533344,287620872
2377,155533344,287620872
2480,165722944,287794772
2583,175478944,287961272
2687,190438144,288216572
2790,190438144,288216572
2893,200844544,288394172
2996,208866144,288556972
3099,225559744,288815972
3202,225559744,288815972
3305,235749344,288989872
3409,245505344,289156372
3512,260464544,289411672
3615,260464544,289411672
3718,269786944,289570772
3821,282543456,289788480
