RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.24,0.92,0:03.16,17583,768983,294369,22905
90,2.21,2.59,0:04.81,261479,525087,423425,283504
80,2.24,2.55,0:04.79,261822,524744,438964,283731
70,2.24,2.57,0:04.81,261532,525041,480309,284325
60,2.30,4.05,0:06.36,465465,529858,564526,501086
50,2.32,4.41,0:06.74,518766,529961,565489,557429
40,2.27,4.39,0:06.66,524090,524637,565588,563107
30,2.39,4.26,0:06.66,524012,524715,565590,563151
20,2.37,4.26,0:06.63,523866,524861,565591,563174
10,2.42,4.19,0:06.62,523971,524756,565590,563174
5,2.51,4.10,0:06.62,524013,524715,565582,563151
