TIME,RECV,XMIT
3,0,0
106,0,0
209,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,1211664,86276184
1137,4031612,284899076
1241,6605540,464390976
1344,7891344,551966312
1447,8293040,580111088
1550,8702736,608538224
1653,9242076,646326680
1756,11691508,818839952
1860,14223652,996131624
1963,14788596,1035218936
2066,15289492,1070313028
2169,15815624,1107090416
2273,16826784,1179070496
2376,19491544,1365788648
2479,21308020,1491842840
2582,21782196,1525222136
2686,40253460,1570509096
2789,202577080,1706508628
2892,304624464,1916258464
2995,483614704,2018580884
3098,654368536,2154175580
3201,791566824,2290848480
3304,1005366312,2294507780
3407,1219011936,2298147376
3510,1429860776,2301745624
3613,1640807176,2305345724
3716,1851970376,2308949524
3820,2061694024,2312528536
3923,2273863176,2316149724
4026,2305533320,2316664320
