TIME,RECV,XMIT
4,0,0
107,0,0
210,1151748,78874452
313,2226148,154494804
416,4340636,301617768
519,86015208,460229836
623,224101516,536604484
726,302314124,673890268
829,451297632,777320940
932,558348008,877320344
1036,679477260,963888984
1139,824633572,1042198604
1242,958649812,1135414480
1345,1073408204,1237761160
1449,1188170828,1327668908
1552,1322329032,1435205048
1656,1425784908,1581456276
1759,1543523636,1675969292
1862,1665247780,1787792064
1965,1786692624,1868869736
2068,1908839456,1958687784
2172,2022094224,2054641072
2275,2148993768,2141575836
2378,2274664508,2222014440
2482,2396254876,2324619608
2585,2522034828,2471996588
2688,2659020764,2562933496
2792,2786838616,2661858984
2895,2926918956,2766890756
