TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,1205032,85169564
1344,3898000,273111624
1447,6543168,459698376
1551,7835868,549016440
1654,8911444,624376152
1757,8911444,624376152
1860,10668276,747984672
1963,12135136,850637736
2066,14233464,999690164
2169,15217464,1066604040
2272,16325156,1143814296
2375,17416604,1221176592
2478,17588904,1232358048
2581,18767956,1316284128
2685,40930864,1381466016
2787,99540172,1474319896
2890,155888096,1616235760
2993,216852932,1656684700
3096,276642716,1716030872
3198,339394812,1718422600
3301,401507468,1725358232
3404,463648728,1726417616
3507,526160528,1732019092
3610,588416428,1738749540
3712,622627936,1894948980
3815,673484844,2026230640
3918,735547612,2044631472
4021,790559500,2219345044
4123,852372776,2244186896
4226,912503192,2292963052
4329,974486312,2294021400
4432,1036633116,2295081228
4535,1099350104,2296152156
4638,1161857880,2297218792
4740,1224300616,2298284760
4843,1287038200,2299355320
4946,1349415896,2300419736
5049,1411294952,2301475716
5152,1474153944,2302549232
5255,1537103992,2303623120
5358,1599958648,2304695676
5460,1662908696,2305769712
5563,1725364440,2306836052
5666,1787755144,2307901504
5769,1850115808,2308986680
5872,1912393776,2310050132
5974,1973778528,2311097380
6077,2035922080,2312158024
6180,2098425520,2313223992
6283,2160564736,2314284488
6385,2223024816,2315350456
6488,2285735296,2316421236
6591,2305972496,2316758676
