TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1242,0,0
1345,0,0
1448,0,0
1551,1821560,128782224
1654,4731592,331516704
1757,6108736,428566008
1860,6413840,449660472
1963,6867988,481254384
2066,8993596,631661040
2169,11084424,776863584
2272,11512472,806615640
2375,11996380,840577032
2479,13502672,947569752
2582,15974300,1119509616
2685,174887164,1199117840
2788,315863552,1373639368
2891,476545820,1525204344
2994,630790420,1692053288
3097,787769820,1846648688
3200,961119040,2002710720
3303,1111483912,2170733368
3406,1293432256,2299532992
3509,1534932280,2303651020
3612,1772545080,2307709992
3715,2008389876,2311731892
3818,2245385880,2315779472
3921,2305634600,2316774624
