RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,98989,118502.1,3134.927,,,,,,,
100,1,739,1132.726,0.435,,,,,,,
100,2,755,1131.496,1.008,,,,,,,
100,3,850,1247.408,0.518,,,,,,,
100,4,172,345.853,2.738,,,,,,,
100,5,91,123.422,0.857,,,,,,,
100,6,224,292.741,1.057,,,,,,,
90,0,116469,205373.9,66578.82,11455,82435.99,1048.912,3,73435.61,167740394,
90,1,14998,85772.41,2985.891,10464,72954.76,694.613,1,63927.45,0.000,
90,2,14000,78522.34,1490.821,9484,66437.37,260.391,1,40009.28,0.000,
90,3,21113,87080.91,2777.816,10115,71370.01,375.199,1,31029.06,0.000,
90,4,282,490.704,1.250,,,,,,,
90,5,271,444.388,0.561,,,,,,,
90,6,270,357.186,2.012,,,,,,,
80,0,116556,236942.6,504013.0,14981,104397.4,3209.041,6,188928.8,230204425,
80,1,18153,105424.5,2378.310,12780,90123.50,23209.97,2,53812.14,52106154,
80,2,29408,111000.1,12814.67,12552,90692.15,998.805,2,59496.45,55807319,
80,3,26505,95556.06,6445.356,10813,78024.90,2370.489,2,60503.43,52091261,
80,4,271,462.987,2.165,,,,,,,
80,5,162,229.300,0.483,,,,,,,
80,6,180,380.595,11.887,5,62.047,231.756,,,,
70,0,116679,231155.7,32226.38,16154,108235.4,950.123,7,160141.1,131353807,
70,1,18095,119039.4,6476.021,15392,103607.1,5025.482,2,29852.95,20454363,
70,2,17220,114917.4,33078.45,15230,100906.2,324254.9,2,27049.47,27456539,
70,3,31126,115158.9,7944.462,13815,94337.23,1493.208,2,22015.80,1715846,
70,4,138,236.993,0.937,,,,,,,
70,5,292,407.115,1.364,,,,,,,
70,6,110,171.182,0.490,,,,,,,
60,0,135580,262006.3,40462.92,17731,123050.5,6115.870,8,197832.3,113105374,
60,1,32119,144106.4,30001.58,17469,121405.5,24695.36,2,54877.03,24345432,
60,2,35419,167495.7,82049.03,20948,142302.1,8910.441,2,58060.46,120017097,
60,3,27429,145289.5,20725.86,18602,124450.1,1709.415,2,56919.14,12485454,
60,4,140,206.851,0.471,,,,,,,
60,5,185,294.822,0.683,,,,,,,
60,6,,,,,,,,,,
50,0,144052,287741.8,101017.0,19644,136323.6,1964.203,11,188342.8,65890396,
50,1,46811,171656.7,59428.36,20343,138845.8,4576.324,2,42814.13,9135452,
50,2,54497,176454.8,29390.60,20351,139623.4,3795.138,2,46012.52,129429.0,
50,3,47972,157367.9,12801.74,17885,123298.3,2501.499,2,40871.92,12157286,
50,4,325,444.250,1.008,,,,,,,
50,5,166,270.277,1.085,,,,,,,
50,6,41,72.201,1.110,,,,,,,
40,0,300639,735560.4,4870312,69581,456733.0,54294.88,23,535787.4,100590787,
40,1,200212,566697.3,152506.8,61428,408643.9,18539.63,12,262278.7,30701135,
40,2,184517,555187.3,3817102,63128,409858.6,10254.12,16,421248.3,69434826,
40,3,178573,576023.6,233977.1,66398,435291.1,25767.04,16,431893.7,323612563,
40,4,265,277.984,0.848,,,,,,,
40,5,106,218.922,3.463,1,11.088,0.000,,,,
40,6,314,601.841,1.291,,,,,,,
30,0,369476,1052665,1798646,110825,706861.6,34586.84,37,696077.1,51773518,
30,1,248477,833760.6,2113993,95411,613915.0,29829.58,25,543550.6,89906072,
30,2,244975,786524.5,257072.8,88615,569915.7,39643.58,27,568300.8,34384190,
30,3,234426,763087.7,621265.1,86987,556335.7,15105.45,30,575331.3,37597694,
30,4,189,249.160,1.849,,,,,,,
30,5,139,241.687,8.891,4,52.752,129.264,,,,
30,6,158,318.548,11.122,17,120.780,34.614,,,,
20,0,377380,1078819,622026.9,108590,702134.8,45108.20,38,759577.7,24927823,
20,1,247675,816767.7,502732.8,85957,579198.7,62465.27,24,469719.1,23334900,
20,2,248382,812827.1,2022267,84147,562205.7,23866.64,27,556659.1,23088364,
20,3,247599,800972.2,324029.8,82563,555227.1,151604.2,29,568154.7,14079482,
20,4,174,306.237,3.754,,,,,,,
20,5,133,252.636,12.416,2,41.649,459.378,,,,
20,6,75,116.728,0.900,,,,,,,
10,0,467509,1659653,1902264,138373,871141.3,45551.58,71,901667.7,7546755,
10,1,337716,1414536,687022.2,120222,759116.9,238656.6,54,713426.1,5604696,
10,2,338926,1384726,1330185,118639,731356.9,283142.0,51,645297.3,2422827,
10,3,336197,1393565,1260990,117808,743388.7,99776.99,54,699741.1,5276374,
10,4,157,266.553,0.917,,,,,,,
10,5,17,30.155,5.363,,,,,,,
10,6,275,445.046,6.814,5,55.084,134.900,,,,
5,0,533821,2452285,3650375,176746,1038226,273027.7,68,563250.9,7180522,
5,1,405825,2216464,1434711,163588,978872.7,126860.7,46,335789.7,2729919,
5,2,401889,2185276,2027816,163172,1017992,956246.2,58,450525.7,3542078,
5,3,402685,2154600,1580261,160521,969902.7,273403.2,47,371656.9,4423296,
5,4,,,,,,,,,,
5,5,196,380.429,5.510,,,,,,,
5,6,245,454.939,6.970,6,63.044,148.904,,,,
