TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,471156,70899312
520,995596,143875176
623,1633884,239127256
726,19083044,272659288
829,38441100,272848568
931,57900440,275513192
1034,59273464,309898488
1137,80049140,322739464
1240,102486876,329178168
1343,117005772,367173616
1446,146291476,420627032
1549,158329432,420741392
1652,182054804,420973912
1755,202550996,487555288
1857,239461872,489289936
1960,257525256,507776304
2063,274206836,507939544
2166,295972348,508616552
2269,297436468,528746936
2372,318745060,530295040
2475,341935252,539046672
