RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.62,0.29,0:01.56,42,101125,0,76
90,8.14,0.98,0:01.76,385,160271,0,42706
80,7.68,1.00,0:01.73,521,167558,0,52200
70,7.84,1.02,0:01.76,647,190502,0,63450
60,8.18,1.11,0:01.81,272,216790,0,71004
50,8.81,1.36,0:02.15,1361,306493,0,84014
40,10.00,5.47,0:02.72,5356,984520,0,437984
30,9.28,7.24,0:02.91,8384,1083477,0,550866
20,8.92,9.23,0:03.25,53304,1202241,0,607235
10,10.74,11.21,0:03.76,47394,1488600,0,730010
5,13.04,14.52,0:04.60,40737,2367520,0,879187
