TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
727,0,0
830,0,0
934,0,0
1037,0,0
1140,0,0
1244,0,0
1347,0,0
1450,0,0
1554,0,0
1657,0,0
1761,0,0
1864,0,0
1967,0,0
2071,0,0
2174,0,0
2277,0,0
2381,0,0
2484,0,0
2588,0,0
2691,0,0
2795,0,0
2898,0,0
3001,0,0
3105,0,0
3208,0,0
3312,0,0
3415,0,0
3518,0,0
3622,0,0
3725,0,0
3828,0,0
3932,0,0
4035,0,0
4138,0,0
4241,0,0
4344,0,0
4448,0,0
4552,0,0
4655,0,0
4759,0,0
4862,0,0
4965,0,0
5069,0,0
5172,0,0
5276,0,0
5379,0,0
5483,3630192,66986328
5586,5646432,67020736
5689,5646432,67020736
5793,8638272,67071796
5896,8638272,67071796
6000,8638272,67071796
6103,8638272,67071796
6207,12055040,67130108
6310,12055040,67130108
6413,12055040,67130108
6517,12055040,67130108
6620,15805680,67194120
6723,15805680,67194120
6827,15805680,67194120
6930,15805680,67194120
7033,15805680,67194120
7137,20995872,67282696
7240,20995872,67282696
7344,20995872,67282696
7447,20995872,67282696
7550,30006336,77911756
7654,30006336,77911756
7757,30006336,77911756
7860,30006336,77911756
7964,35641256,87020372
8068,44549216,97924980
8171,44549216,97924980
8275,44549216,97924980
8378,44549216,97924980
8482,57293416,114037808
8585,57293416,114037808
8689,57293416,114037808
8792,57293416,114037808
8896,59236408,116494320
8999,59236408,116494320
9102,61165084,119142688
9205,73792460,119439696
9309,73792460,119439696
9412,73792460,119439696
9515,73792460,119439696
9619,73792460,119439696
9722,73792460,119439696
9825,73792460,119439696
9928,73792460,119439696
10032,73792460,119439696
10136,81050104,203374228
10239,85496860,212217752
10342,85496860,212217752
10446,96424992,221363904
10549,96424992,221363904
10652,96424992,221363904
10756,96424992,221363904
10860,109702928,236139636
10963,109702928,236139636
11067,109715448,236704432
11170,109715448,236704432
11274,126250080,255809344
11377,126250080,255809344
11480,126250080,255809344
11584,126250080,255809344
11687,131482420,258277368
11791,146308680,277753840
11894,149640692,281372012
11998,153703380,285232848
12101,157875412,290050992
12205,178293112,313035208
12308,182417428,316176124
12412,185657716,321044448
12515,189657408,324633988
12619,199931304,334835076
12722,215140852,337607204
12826,218611264,337796724
12929,222953092,338444132
13033,227295540,339152356
13136,249494452,347014468
13240,252982780,348811268
13343,257337816,350618524
13446,262129176,352767668
13550,275797044,362521208
13653,284784256,371720772
13757,285264404,373739740
13860,299879856,376594928
13964,299879856,376594928
14067,299879856,376594928
14171,299879856,376594928
14275,299879856,376594928
14378,299879856,376594928
14481,299879856,376594928
14584,299879856,376594928
14688,299879856,376594928
14791,300718592,435264992
14894,319436156,526703272
14998,319436156,526703272
15102,335116568,538156824
15206,340993972,544825476
15309,343436724,547716208
15412,347980412,552136724
15516,351389356,556068924
15619,373245444,580602152
15723,376077624,583186852
15826,380527220,587749168
15930,384538700,592816452
16034,400730140,610152184
16137,409778132,619687556
16240,413845104,624230328
16344,417131900,628347172
16447,420002672,630706648
16551,443409012,656326084
16654,446644200,659477896
16757,450659388,663963304
16861,454594776,666962032
16965,476040632,667328036
17068,480081380,667571452
17171,483850704,668012924
17275,488211688,670137292
17378,498593840,678599736
17482,513916540,680460836
17585,517387012,680676420
17688,522585876,680765144
17791,526054676,680824344
17895,548168340,681206088
17999,552504340,681280088
18102,557273940,681361488
18206,561609940,681435488
18309,581933856,681790688
18413,584725156,681829984
18516,589371180,681916044
18619,599315796,682078992
18722,599315796,682078992
18825,599315796,682078992
18928,599315796,682078992
19031,599315796,682078992
19134,599315796,682078992
19237,599315796,682078992
19340,599315796,682078992
19444,599535336,698122484
19547,601623180,818043368
19651,626207384,879928392
19755,629726776,883884160
19858,652150376,907988488
19961,655667352,911879096
20064,660074400,917083436
20167,664458324,920923684
20271,672336248,929333732
20374,690334980,949178076
20478,693676720,953204656
20581,698852036,957779328
20684,701752852,960469396
20788,724081616,984155144
20891,728856796,984697008
20994,732423496,987133488
21098,738025608,987229096
21201,757540856,987569496
21305,763608008,987665696
21408,767944008,987739696
21512,772280008,987813696
21615,781385608,987976496
21718,797862468,988254640
21822,801331268,988313840
21925,806534468,988402640
22029,810003268,988461840
22132,832116868,988839240
22235,836452868,988913240
22339,841232328,989685336
22442,845560044,991057748
22546,868107244,991442548
22649,871142444,991500712
22752,875912044,991575748
22856,880248044,991649748
22959,894488552,991901348
23063,906697644,992101148
23166,907694924,992118980
23270,921669852,992356668
23373,921669852,992356668
23476,921669852,992356668
23580,921669852,992356668
23683,921669852,992356668
23786,921669852,992356668
23889,921669852,992356668
23992,921669852,992356668
24096,922167216,1027608228
24199,924005836,1127322720
24303,946768592,1234238380
24407,952043896,1239809856
24511,961712924,1249966912
24614,978002008,1268300156
24718,981519480,1272056100
24821,986781828,1276819044
24925,990309776,1281343876
25028,1013827928,1302048864
25131,1023588656,1313689620
25235,1035009984,1315950660
25339,1040240284,1316010672
25442,1043709084,1316069872
25545,1067123856,1316495536
25649,1070159056,1316547336
25752,1074928656,1316628736
25855,1079264656,1316702736
25959,1102940044,1333501528
26063,1116028624,1340497748
26166,1126922812,1341975708
26270,1132563948,1342071980
26373,1136032748,1342131180
26477,1158146348,1342508580
26580,1162482348,1342582580
26684,1166818348,1342656580
26787,1171587948,1342737980
26890,1195368556,1356799060
26994,1208968492,1359649276
27097,1212437292,1359708476
27200,1218074092,1359804676
27304,1221542892,1359863876
27407,1243656492,1360241276
27511,1248735268,1362047784
27614,1252790308,1363089808
27717,1257126308,1363163808
