RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.38,7.97,0:10.97,124791,923995,1694890,1574741
90,2.62,7.87,0:11.09,126902,921885,1695528,1611940
80,2.62,8.17,0:11.38,130701,918091,1696829,1687552
70,2.80,8.10,0:11.47,131071,917725,1696815,1687822
60,2.92,8.04,0:11.50,129335,919464,1709406,1688104
50,3.06,8.27,0:11.89,131348,917454,1962562,1691932
40,3.18,8.22,0:11.93,131438,917372,2010128,1692836
30,3.40,8.48,0:12.42,130040,918769,2295285,1696753
20,3.43,9.25,0:13.27,131608,917201,2828646,1704245
10,3.51,9.75,0:13.88,132144,916675,3189783,1709517
5,3.76,9.60,0:13.98,137244,911582,3241961,1710338
