RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,1,548333,740973.6,3663754,5254,245425.2,14219.42,,,,,25130,29826.67,447528.4,548333,17769.88,14603.87,,,
100,2,524950,432731.4,699530.1,3,163.634,13.554,,,,,345,57.892,5.723,524950,17091.75,15636.46,,,
100,3,547584,733655.1,4184958,4978,239571.9,7611.126,,,,,24211,22938.19,19525.29,547584,18464.22,20255.23,,,
100,4,548333,734107.6,3713874,5014,235569.5,6717.245,,,,,25076,30678.43,38871.03,548333,20048.40,32982.15,,,
90,1,439166,402228.6,2419468,,,,,,,,,,,439166,16141.70,133142.5,,,
90,2,344211,2081064,4387529,120842,1718355,897913.9,,,,,349870,76388.27,559137.2,344211,12309.41,4054.232,,,
90,3,343270,373205.3,1040478,,,,,,,,,,,343270,16602.47,41480.72,,,
90,4,440279,402364.1,6154530,,,,,,,,,,,440279,15861.60,151936.3,,,
80,1,5657,6166.537,572.597,,,,,,,,,,,5657,207.501,0.663,,,
80,2,57,402.528,2159.216,,,,,,,,8,0.343,0.000,57,2.288,0.000,,,
80,3,4842,4301.234,58.256,,,,,,,,,,,4842,178.109,0.639,,,
80,4,5692,6071.226,389.350,,,,,,,,,,,5692,186.773,0.000,,,
70,1,867080,10069357,3517881,130358,7909838,5446328,16,171256.1,151716480,,568023,1163309,2490780,867080,34223.90,468899.5,,,
70,2,1018753,9068153,2520064,122065,6954137,36615864,32,446530.9,180427374,,534757,994234.3,5121178,1018753,41025.92,271728.0,,,
70,3,915289,9209111,4732231,121952,7097407,68337.18,21,287711.6,219709137,,522949,859032.3,14265.71,915289,47578.21,259240.3,,,
70,4,868252,9984934,4672392,130633,7845412,10231440,17,300020.6,368659371,,567433,1143446,1492303,868252,34684.83,184232.7,,,
60,1,1048720,9812326,44640860,129397,7563446,4716577,43,1069514,334327497,,568489,1108315,790561.9,1048720,42224.66,3416824,,,
60,2,1048799,9548670,1643205,127797,7339548,610654.4,54,1192566,511351761,,568839,1087936,4172179,1048799,40635.94,242213.3,,,
60,3,1030555,9359664,21296960,124507,7128079,1653.163,38,943299.2,566568674,,542763,888820.8,185404.7,1030555,51038.15,3239560,,,
60,4,1048778,9567005,10324412,128816,7363545,865319.4,49,1232798,391032302,,568410,1070757,19837939,1048778,41755.46,576593.3,,,
50,1,1048721,9784178,7280180,128537,7521657,537873.5,64,1771172,482389806,,567559,1097222,161400099,1048721,41116.41,274561.1,,,
50,2,1048797,9801040,958711.1,127881,7536234,1016680,57,1655057,512760317,,568179,1091242,3369771,1048797,41641.80,309911.5,,,
50,3,1037361,9711150,3228411,128694,7396668,4101765,57,1340599,571171400,,549741,913828.8,1544869,1037361,53820.52,278595.9,,,
50,4,1048951,9848214,373142.3,128499,7584959,1725628,63,1649057,659469883,,567773,1102636,6614436,1048951,42321.61,286832.1,,,
40,1,1049120,9912065,6804510,128483,7626913,1094816,70,2174735,511054106,,567207,1093245,156011199,1049120,41705.40,502871.4,,,
40,2,1049000,9999354,4627487,127723,7674099,4415270,74,1986467,541607928,,567887,1118536,5568708,1049000,41689.42,293778.2,,,
40,3,1022040,9627869,5143952,123093,7330080,147653.8,67,1752979,543084107,,533128,876327.2,15481036,1022040,54473.32,393886.3,,,
40,4,1048735,10043276,2149189,128065,7719808,2107568,68,1956775,624499532,,567639,1132222,4289084,1048735,41539.30,555493.9,,,
30,1,1048891,10316917,6871067,128344,7926129,4104023,88,2604821,389866441,,566864,1136317,1147960,1048891,39757.82,237442.1,,,
30,2,1049018,10349044,2138580,127534,7939089,984922.8,104,2522178,662973372,,567918,1157731,226857.7,1049018,39994.78,242171.7,,,
30,3,1019242,10091394,2567452,122435,7676350,2023240,85,2043446,502048008,,529627,922223.5,1217214,1019242,54817.13,283688.7,,,
30,4,1049134,10449521,6806127,128553,8066448,2410367,88,2395389,551761657,,566969,1137921,3205599,1049134,41449.92,813104.0,,,
20,1,1048829,10293302,7866669,126642,7864200,4126218,115,3066055,585080125,,568498,1178930,440761.2,1048829,41438.54,662466.8,,,
20,2,1048932,10402784,6821864,127650,7969397,1266566,102,2931910,464049834,,568366,1188384,2923108,1048932,40349.38,272895.3,,,
20,3,1029137,10157758,70608942,122884,7671003,431320.2,96,2298058,815168640,,540998,956199.2,3464802,1029137,55384.22,4794304,,,
20,4,1048915,10369629,11323273,127166,7951498,8258727,116,2966146,599929061,,567669,1170615,9036877,1048915,41731.52,712854.0,,,
10,1,1048943,10359232,1840469,126133,7924743,5720527,118,3314784,543291806,,567932,1171152,1580091,1048943,41424.43,243540.2,,,
10,2,1048804,10312077,23941353,125650,7873095,1012184,123,3324377,561810371,,567926,1175690,10306647,1048804,41333.49,1924105,,,
10,3,1014319,9916920,4436756,120279,7470225,219583.7,109,2785567,508598582,,524838,932804.4,5652370,1014319,58057.07,291888.4,,,
10,4,1049232,10278027,14904950,126571,7855296,631695.8,117,3455170,563290015,,567688,1146033,34134140,1049232,42588.70,1524164,,,
