RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.57,1.53,0:04.13,36804,533159,150528,118390
90,2.75,3.90,0:10.71,11,989696,2320587,2200616
80,2.94,3.97,0:11.33,11,993060,2482618,2341503
70,3.00,4.08,0:12.18,15,1002198,2347083,2124358
60,2.73,5.18,0:12.89,15,1000356,2752010,2212093
50,2.67,5.62,0:13.31,20,1001196,3100194,2212698
40,2.72,6.27,0:14.14,15,1001297,3649968,2253507
30,2.70,6.76,0:14.51,15,1001621,3896730,2256313
20,2.80,7.30,0:15.21,15,999921,4102022,2250632
10,2.77,7.61,0:15.48,16,1000645,4269252,2230208
5,2.83,5.55,0:11.81,13,985160,3212749,1628912
