RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.82,1.09,0:04.02,5813,694063,211538,46060
90,2.78,4.80,0:10.04,49131,737434,1708080,1398663
80,2.77,5.68,0:10.84,49095,737470,1989564,1412527
70,2.78,6.34,0:11.52,49095,737477,2271450,1416555
60,2.91,10.95,0:16.61,93319,903027,3403094,2530833
50,2.80,12.85,0:18.51,103639,945085,4224849,2815619
40,2.81,13.45,0:19.13,104072,944661,4505457,2830106
30,2.73,14.07,0:19.71,104368,944360,4783809,2830684
20,2.81,14.86,0:20.57,104066,944662,5063038,2838284
10,2.79,15.45,0:21.17,103640,945093,5352995,2842895
5,2.77,15.95,0:21.63,103849,944879,5479698,2844883
