RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.33,0.13,0:04.47,0,104858,0,0
90,4.41,0.46,0:04.88,14083,113836,137732,82549
80,4.49,1.11,0:05.62,52328,115441,387731,269926
70,4.42,1.60,0:06.04,71024,119046,395909,370819
60,4.46,1.66,0:06.13,73223,119006,414157,401455
50,4.66,2.05,0:06.74,83693,151576,528327,500396
40,5.00,4.39,0:09.78,126617,469961,1282276,1321666
30,5.18,10.82,0:18.00,216731,1069835,3160877,3436078
20,5.41,11.51,0:19.11,228480,1100922,3326047,3750611
10,5.26,25.59,0:36.21,482915,2147682,6232444,7655255
5,5.69,23.80,0:35.29,462005,2203763,5933786,7728097
