RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.33,0.15,0:04.50,0,100590,0,0
90,4.49,0.52,0:05.09,1223,114728,270391,255941
80,4.49,0.57,0:05.12,2535,117024,353896,316656
70,4.47,0.83,0:05.38,3979,118456,440458,378309
60,4.55,1.26,0:05.93,7552,130503,467783,440783
50,4.58,1.54,0:06.23,19200,141939,654913,575514
40,5.19,4.91,0:12.05,21462,719100,2897009,2739373
30,5.43,3.82,0:15.16,2712,1081213,3473181,3631440
20,5.42,3.80,0:14.45,33,1033156,3264090,3347811
10,5.31,6.34,0:15.95,20034,1007384,3590375,3731408
5,5.42,10.16,0:22.16,63776,1339221,4548058,5712920
