RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,1,524607,560215.8,804052.6,13,271.897,64.901,,,,70467.72,13,0.473,0.000,524607,129606.4,226405.5,,,
100,2,544928,919005.1,17588246,15826,332147.5,44637.57,,,,69507.16,20440,1296.588,1087.788,544928,130435.9,1671443,,,
100,3,524746,562029.2,862560.2,13,266.214,101.823,,,,68602.54,13,0.632,0.000,524746,127003.9,166201.3,,,
100,4,545204,917089.6,12000853,15727,329121.0,23632.08,,,,69166.57,20315,893.433,56.599,545204,130150.2,882684.7,,,
100,5,537934,821299.2,2103232,10281,222885.2,9191.793,,,,71198.60,13498,650.865,14.840,537934,132788.2,215510.1,,,
100,6,544884,914967.8,2114525,15717,327491.5,26691.89,,,,70401.29,20411,946.065,8.568,544884,131572.1,180017.0,,,
90,1,57152,72818.34,49844.51,,,,,,,9478.087,,,,57152,16312.79,10706.19,,,
90,2,19219,305763.2,110307.7,,,,2,51255.98,1119094678,24357.78,32673,243991.7,299784.9,19219,27041.13,14582.08,,,
90,3,7523,133765.7,95108.52,4,638.202,1347.070,,,,14330.21,13115,101078.2,532986.6,7523,15906.38,16417.84,,,
90,4,19719,308806.3,188859.0,,,,3,47891.85,574018985,27740.50,33762,241439.8,336128.1,19719,30340.21,45535.95,,,
90,5,20892,347141.4,255600.1,6,1190.593,11806.55,2,11170.68,28577684,29489.54,35552,275617.8,812210.1,20892,31963.88,42209.87,,,
90,6,18952,295119.1,133395.7,,,,2,63460.86,1688917914,24435.47,32637,234144.8,123911.5,18952,26886.30,21519.30,,,
80,1,258595,297620.1,318531.7,,,,,,,37235.51,,,,258595,67810.52,78557.49,,,
80,2,259121,298938.7,3987851,,,,,,,37107.03,,,,259121,68375.45,1247179,,,
80,3,141339,780692.3,16713091,8,101.423,100.434,,,,486607.0,115135,67466.45,237618.1,141339,510869.9,15537966,,,
80,4,257509,299391.5,1582899,,,,,,,38134.75,,,,257509,69214.32,406521.9,,,
80,5,260102,297305.9,320494.2,,,,,,,37909.67,,,,260102,68349.83,89581.40,,,
80,6,260227,294812.6,247680.8,,,,,,,36803.84,,,,260227,67088.18,60434.71,,,
70,1,364006,4285941,12417273,4,1001.690,26688.97,78,1895880,572588086,286581.7,364521,3445926,2275414,364006,331370.4,43071197,,,
70,2,310172,4852908,2875826,8,1506.402,28435.57,63,1584290,577503663,308344.4,422501,4049325,2622742,310172,344174.6,3160867,,,
70,3,587752,2154635,2026092,8,1930.697,13447.35,50,845491.6,343870296,231800.4,111525,1006461,2435655,587752,333023.6,4464428,,,
70,4,314745,4884074,23200496,8,1396.192,27486.48,59,1638542,476750119,311922.0,423304,4062025,3257458,314745,349149.4,16746125,,,
70,5,307712,4752349,608720.5,10,1525.420,21299.27,62,1844830,530000461,308445.4,420176,3951822,6223598,307712,344244.2,2884301,,,
70,6,308404,4889306,26140508,8,2279.734,49529.10,59,1546221,828807515,309885.9,422741,4088609,9704932,308404,347195.3,16355325,,,
