RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.87,1.23,0:09.13,130,678121,5256,3377
90,7.96,1.64,0:09.67,38,689374,220582,79313
80,7.99,1.92,0:10.00,35,689385,458782,82711
70,7.99,2.35,0:10.51,97,695251,799277,107700
60,7.91,3.73,0:11.74,413,697393,1227648,220732
50,8.10,5.12,0:14.07,13956,760990,2034256,979821
40,8.28,5.40,0:15.13,11641,844322,2656137,1829266
30,8.57,5.69,0:17.25,22959,959140,3584167,3127098
20,8.77,5.49,0:18.60,2680,1076049,4150368,3808551
10,9.04,5.89,0:20.24,2875,1198677,4466386,4211022
5,9.18,7.29,0:19.04,31259,1259017,4079322,3556667
