RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.67,2.15,0:07.85,0,1446072,0,0
90,5.73,2.90,0:08.66,3323,1448814,345059,15726
80,5.79,3.75,0:09.57,3318,1448824,677331,20602
70,5.82,6.25,0:12.29,58753,1547139,1473381,458306
60,6.24,11.21,0:18.52,189238,1992386,3023016,1575994
50,6.37,16.23,0:26.49,262361,2521430,5438867,3646820
40,6.80,49.37,1:05.19,414278,5963061,16156784,13677246
30,6.87,60.11,1:37.07,262688,7635180,25320512,22350877
20,6.89,67.93,1:57.78,123546,8601558,30806582,27296742
10,6.10,898.07,15:29.13,98535,7723278,48227618,44580613
5,6.00,31.47,0:39.33,67110,7940622,5331320,10828301
