TIME,RECV,XMIT
5,0,0
108,0,0
212,0,0
315,0,0
417,0,0
521,0,0
624,0,0
728,0,0
831,0,0
934,0,0
1038,0,0
1141,0,0
1244,0,0
1348,0,0
1451,0,0
1554,0,0
1657,0,0
1761,0,0
1865,0,0
1968,0,0
2071,0,0
2174,0,0
2277,0,0
2381,0,0
2484,0,0
2587,0,0
2691,0,0
2794,0,0
2898,1004924,6904460
3001,47508096,69115756
3104,91494212,125666484
3208,137507400,180488424
3311,185125788,235285076
3414,231943444,289673420
3517,287349756,353852316
3621,348360936,425050264
3724,408809296,495656680
3827,455728932,549247452
3930,501284744,601056588
4033,547868164,655175492
4137,594348372,709009412
4240,641589836,765127872
4343,687644612,817933456
4446,732453392,869623100
4550,778697424,923722048
4653,825822144,979960576
4757,872441212,1034441428
4860,919327000,1089034680
4963,965134228,1142225620
5066,1012013792,1196625792
5169,1058349076,1251030236
5273,1105982128,1307115972
5376,1153792392,1361683444
5479,1200918976,1415637372
5583,1246448940,1467996556
5686,1292195088,1520668480
5789,1338786792,1574607880
5892,1384936728,1628474068
5996,1431464436,1681481716
6099,1477393912,1734058476
6202,1524578108,1788313152
6305,1570790532,1841874496
6409,1617856416,1895750164
6512,1665132848,1949982192
6615,1711618256,2003117224
6718,1758748764,2059086416
6821,1805821044,2113980248
6924,1852443364,2168252228
7027,1899462960,2223840944
7130,1945727236,2277209116
7233,1978403632,2311116468
7336,1978403632,2311116468
7441,1978603088,2311119872
7544,1978603088,2311119872
7647,1978603088,2311119872
7751,1978603088,2311119872
7854,1978603088,2311119872
7957,1978603088,2311119872
8061,1978603088,2311119872
8164,1978603088,2311119872
8268,1978603088,2311119872
8371,1978603088,2311119872
8474,1978603088,2311119872
8577,1978603088,2311119872
8680,1978603088,2311119872
8783,1978603088,2311119872
8887,1978603088,2311119872
8990,1978603088,2311119872
9094,1978603088,2311119872
9197,1978603088,2311119872
9301,1978603088,2311119872
9404,1978603088,2311119872
9508,1978603088,2311119872
9611,1978603088,2311119872
9715,1978603088,2311119872
9818,1978603088,2311119872
9922,1978603088,2311119872
10025,1978603088,2311119872
10128,1978891264,2331766904
10232,1980165116,2419949024
10335,1981362832,2502200500
10439,1984766700,2584465892
10543,2047930664,2657684696
10646,2109091772,2730927488
10749,2169067920,2801395760
10853,2228366856,2872226016
10957,2287549968,2941856180
11060,2347504148,3012184468
11163,2406097532,3079925120
11266,2453404480,3135076176
11369,2499883888,3188820632
11473,2546150636,3241884504
11576,2592726500,3294508052
11679,2638041800,3346372244
11783,2684494720,3399878872
11886,2731643920,3453351648
11990,2778656876,3508130024
12093,2824176880,3560936696
12196,2871841992,3616740384
12299,2917257556,3670841604
12402,2962489200,3725777652
12505,3007504032,3779975352
12608,3052098292,3825970736
12712,3093919288,3870254732
12815,3138306040,3918332168
12919,3185558088,3972672788
13022,3233224584,4027513436
13126,3280043596,4081439100
13229,3327941944,4136337112
13332,3374831076,4193664104
13435,3421766184,4248607596
13539,3468630452,4303029976
13642,3516041988,4357537036
13745,3563792816,4412615332
13849,3610029072,4466563136
13952,3658252184,4521076604
14055,3703279260,4573657100
14158,3752683992,4618769252
14262,3833465840,4620149572
14366,3925937544,4621728512
14469,3973416744,4622525120
