RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,1,678250,621925.5,2160789,78,591.451,11.575,,,,64758.65,87,3.027,0.000,678250,127936.3,428523.9,,,
90,1,689453,649269.3,1180584,39,362.420,34.895,,,,77516.06,3362,2237.143,93.223,689453,142571.7,516000.8,,,
80,1,689389,654133.8,3301827,26,216.901,5.632,,,,80189.81,3982,2037.677,8.366,689389,145578.2,1402890,,,
70,1,689404,691167.4,11128400,98,2438.181,607.986,3,61640.99,20309206,94219.48,5681,4632.188,253.085,689404,161674.0,4602648,,,
60,1,716493,1065911,12641280,21836,269483.0,1887083,4,72916.55,10853184,153996.9,29879,4624.903,4540.704,716493,224854.6,4879848,,,
50,1,728057,1149580,1749764,12481,185284.5,36829.10,5,87102.44,10332328,278633.3,30525,21060.48,16444.50,728057,352025.4,4667201,,,
40,1,752298,1372754,625643.5,12430,165536.6,9306.641,6,95778.02,33044143,450609.0,51305,42062.61,31051.15,752298,529448.7,2655723,,,
30,1,811208,1957283,3835246,34448,369457.8,178818.5,5,86481.88,43163831,661476.4,120054,131729.2,366840.1,811208,749965.2,2867080,,,
20,1,815224,1888289,2548506,2750,52308.38,1494.631,5,71963.36,39492690,802334.8,141393,203239.5,558534.9,815224,891350.2,2146431,,,
10,1,854005,2155886,1885898,4174,70475.87,38608.04,2,38055.87,41154220,984909.3,189943,208142.0,2855285,854005,1080257,2318344,,,
5,1,875852,2286741,49677082,6006,103240.9,9123.215,,,,1075232,192262,198570.8,590493.2,875852,1174070,51261346,,,
