TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
312,0,0
415,0,0
518,0,0
621,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,0,0
2272,0,0
2375,0,0
2478,0,0
2581,0,0
2685,0,0
2788,0,0
2891,0,0
2994,0,0
3097,0,0
3200,0,0
3303,0,0
3406,0,0
3510,0,0
3613,0,0
3716,0,0
3819,0,0
3923,0,0
4026,0,0
4129,0,0
4232,0,0
4335,0,0
4439,0,0
4542,0,0
4645,0,0
4748,0,0
4851,0,0
4955,0,0
5058,0,0
5161,0,0
5264,0,0
5367,0,0
5470,0,0
5574,0,0
5677,0,0
5780,0,0
5883,0,0
5987,0,0
6090,0,0
6193,0,0
6296,1408932,3381148
6399,2427892,3398536
6502,2432228,3398612
6605,2440900,3398760
6709,2440900,3398760
6812,2440900,3398760
6915,2536292,3400388
7018,2536292,3400388
7121,2536292,3400388
7224,2536292,3400388
7327,2536292,3400388
7430,2536292,3400388
