TIME,RECV,XMIT
4,0,0
107,0,0
209,0,0
312,0,0
415,0,0
518,0,0
621,0,0
724,0,0
827,0,0
930,0,0
1033,0,0
1136,0,0
1240,0,0
1343,0,0
1446,0,0
1549,0,0
1652,1068320,74208568
1756,2918524,200524484
1859,4762528,326710076
1962,6560716,449680028
2065,8495464,575761840
2168,10342260,701970252
2271,12185084,828000544
2375,14033492,954315376
2478,15880100,1080683432
2581,17726892,1206877700
2684,19572880,1333164304
2788,21415892,1459016508
2891,23259340,1585098928
2994,25105328,1711385532
3097,26951812,1837592844
3200,28795692,1963724132
3303,30641556,2089851104
3407,32487172,2215959588
3510,34332540,2342402576
3613,36180264,2468715228
3717,38029040,2595026816
3820,39877572,2721363368
3923,100761348,2807350612
4026,183400504,2893729380
4129,265393664,2981344828
4232,347437544,3066663896
4335,430036624,3153092440
4439,512019852,3239932000
4542,594794336,3327442504
4645,678207676,3414863708
4748,760775476,3501156664
4851,841917004,3586704988
4954,924789784,3673467252
5058,1009072824,3759598588
5161,1092941224,3845063980
5263,1177321016,3930246320
5367,1261317036,4015149020
5470,1345333992,4099725100
5573,1429193316,4185278364
5676,1514594452,4271394868
5779,1598376744,4356186420
5882,1682942892,4441847892
5986,1766895944,4527758032
6089,1864056092,4586262676
6192,1987366508,4588367308
6295,2110228148,4590463212
6398,2233729356,4592575372
6501,2357282652,4594683484
6604,2480709064,4596790708
6707,2603443880,4598883428
6810,2726509872,4601024420
6913,2849887624,4603138628
7017,2972682060,4605239120
7120,3096379464,4607346640
7223,3219635688,4609448092
7326,3342895164,4611552724
7428,3465973604,4613652476
7531,3588934980,4615750968
7634,3712510980,4617859672
7738,3835259880,4619953576
7841,3959102548,4622069828
7944,4081802676,4624161808
8047,4204628548,4626259116
8150,4327762276,4628361160
8253,4451169172,4630466164
8356,4574224852,4632565396
8459,4612364308,4633200020
8563,4612732868,4633206308
8666,4612732868,4633206308
8769,4612732868,4633206308
8872,4612732868,4633206308
8976,4612732868,4633206308
9079,4612732868,4633206308
9182,4612732868,4633206308
