RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,1,104777,84737.14,539771.2,,,,,,,,,,,104777,3191.758,1237.216,,,
100,2,105016,85065.06,29951.31,,,,,,,,,,,105016,3627.482,1860.755,,,
90,1,126500,253951.4,200604.0,14005,148971.6,12632.35,3,25512.47,47859153,,19158,2176.488,471.348,126500,4745.397,5391.477,,,
90,2,124276,246343.7,174873.4,13264,145420.4,9759.602,2,49599.55,213297327,,18639,968.651,16.175,124276,3877.368,24.343,,,
80,1,167406,722820.0,648573.1,50868,579017.8,240974.1,4,94932.46,418252826,,56117,4473.419,18139.53,167406,6061.111,3555.488,,,
80,2,167772,730327.5,1196700,50972,584939.6,122601.0,5,76968.30,65028616,,56106,4487.299,3645.710,167772,6231.272,10044.64,,,
70,1,179681,835540.7,792852.5,66459,678942.9,488347.8,8,127782.6,203877149,,71332,5152.038,3362.331,179681,6613.890,4565.863,,,
70,2,180975,819530.4,1106372,67177,666748.6,222632.1,8,162002.5,344841006,,72091,4911.741,62093.56,180975,5960.680,1668.449,,,
60,1,195204,903715.6,959169.7,75974,737908.6,221198.3,8,168636.0,219505647,,80523,4990.745,6532.911,195204,7399.435,9102.472,,,
60,2,195824,899339.6,2495026,76938,730593.8,875187.0,6,171198.3,264154608,,80857,4224.153,6696.230,195824,7178.325,19216.03,,,
50,1,244977,1081150,1288596,88750,862400.8,312854.3,10,181008.7,186484245,,107633,19411.11,64927.55,244977,8946.944,6617.609,,,
50,2,242751,1052132,6008589,87784,837325.3,1400213,11,234302.1,130866625,,106669,18525.24,88194.55,242751,9251.150,53357.86,,,
40,1,,,,,,,,,,,,,,,,,,,
40,2,,,,,,,,,,,,,,,,,,,
30,1,1250724,5408163,26588709,199337,3299096,6488129,4,63321.93,33305566,,789357,1111941,1461135,1250724,47383.91,1349044,,,
30,2,1232594,5676539,1911128,213619,3546860,5327210,3,48153.21,13392835,,820699,1140806,14515505,1232594,46453.45,299774.5,,,
20,1,1326641,5887545,3172889,218391,3618705,5637826,15,235255.9,296621093,,853289,1189093,13725188,1326641,49625.56,1370183,,,
20,2,1329339,5913193,718397.0,217397,3651747,4792927,13,251848.7,336513377,,860206,1182582,3772337,1329339,49367.49,341589.6,,,
10,1,2605330,13789506,6444064,490798,8682022,246570.2,20,225714.4,69339643,,1824289,2985593,91390456,2605330,98057.85,2676267,,,
10,2,2607038,13770909,18506902,490221,8671862,524864.2,23,268830.1,79973870,,1827667,2957593,13951792,2607038,96426.42,5181807,,,
5,1,2666152,13911080,1421441,472705,8521631,3218745,71,238633.7,1917282,,1890919,3159458,4139481,2666152,100841.6,1112326,,,
5,2,2666321,13921303,4514437,472555,8497079,2858483,72,237226.3,1991756,,1897268,3158898,1056049,2666321,123948.1,1546242,,,
