RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,2361,3263.589,14.206,,,,,,,,,,,2361,92.421,0.002,,,
100,1,100737,80508.41,4035.463,,,,,,,,,,,100737,3149.212,25.118,,,
100,2,100720,80308.75,3098.200,,,,,,,,,,,100720,3143.911,19.454,,,
100,3,100717,80304.77,1228.783,,,,,,,,,,,100717,3186.576,24.310,,,
100,4,100665,80662.09,5894.415,,,,,,,,,,,100665,3848.132,54.852,,,
100,5,2312,3169.439,9.638,,,,,,,,,,,2312,87.141,0.003,,,
100,6,1308,1915.437,1.702,,,,,,,,,,,1308,72.005,0.178,,,
100,7,834,1139.841,,,,,,,,,,,,834,32.119,0.000,,,
100,8,1517,1970.539,1.234,,,,,,,,,,,1517,71.810,0.145,,,
100,9,2847,3848.699,4.906,,,,,,,,,,,2847,107.190,0.001,,,
100,10,1213,1568.407,1.808,,,,,,,,,,,1213,46.310,0.000,,,
100,11,256,338.787,0.588,,,,,,,,,,,256,12.894,0.000,,,
100,12,101,152.862,0.574,,,,,,,,,,,101,4.615,0.000,,,
100,13,221,350.285,1.662,,,,,,,,,,,221,10.789,0.000,,,
100,14,625,934.074,0.864,,,,,,,,,,,625,34.274,0.000,,,
100,15,2396,3174.509,9.371,,,,,,,,,,,2396,,0.842,,,
100,16,830,1297.269,2.005,,,,,,,,,,,830,36.935,0.000,,,
100,17,1995,2610.661,3.313,,,,,,,,,,,1995,81.379,0.001,,,
100,18,3128,3910.019,42.465,,,,,,,,,,,3128,149.233,0.603,,,
100,19,2665,3851.939,50.611,,,,,,,,,,,2665,98.702,0.000,,,
90,0,870,1219.547,1.763,,,,,,,,,,,870,33.748,0.000,,,
90,1,141162,575724.0,583953.4,37311,459006.0,354362.7,4,122023.2,816804514,,40410,1507.602,65.500,141162,4755.122,143.071,,,
90,2,141325,579240.8,1423250,37175,464943.0,65316.49,4,131378.0,1047395914,,40577,1516.638,42.324,141325,5318.246,295.144,,,
90,3,140100,568599.3,361783.9,36114,446889.9,80055.31,3,93083.50,877769691,,39450,1855.921,49.071,140100,5083.041,60.533,,,
90,4,142613,541616.9,732369.9,38064,426091.3,128428.7,4,62627.19,342957835,,41689,1817.912,833.976,142613,4789.890,225.961,,,
90,5,2488,3194.903,3.164,,,,,,,,,,,2488,91.533,0.000,,,
90,6,4456,6003.360,16.300,,,,,,,,,,,4456,165.549,0.001,,,
90,7,176,290.832,0.739,,,,1593,701433.4,3776836,,,,,176,9.414,0.000,,,
90,8,4244,5446.810,28.412,,,,,,,,,,,4244,159.175,0.008,,,
90,9,1425,1890.671,1.966,,,,,,,,,,,1425,58.120,0.000,,,
90,10,885,1134.606,0.509,,,,,,,,,,,885,33.433,0.000,,,
90,11,595,903.418,0.674,,,,,,,,,,,595,31.387,0.000,,,
90,12,204,263.929,0.436,,,,,,,,,,,204,8.410,0.000,,,
90,13,4417,7556.859,63.693,7,59.566,5.119,,,,,9,0.605,0.000,,339.511,0.883,,,
90,14,324,574.601,1.008,,,,,,,,,,,324,20.665,0.000,,,
90,15,1976,2604.513,1.255,6,60.083,30.285,,,,,7,0.270,0.000,1976,73.817,0.000,,,
90,16,1535,1975.082,1.453,,,,,,,,,,,1535,55.865,0.000,,,
90,17,347,472.728,0.623,4,41.624,15.320,,,,,4,0.207,0.000,347,16.837,0.000,,,
90,18,2205,3263.701,209.577,6,50.523,15.323,,,,,7,0.228,0.000,2205,85.308,0.003,,,
90,19,1797,2608.156,3.129,,,,,,,,,,,1797,91.249,0.129,,,
80,0,1769,2499.048,1.795,,,,,,,,,,,1769,68.180,0.000,,,
80,1,152958,809289.3,1582144,50157,685168.6,113973.7,7,240911.2,349427015,,51865,2018.499,103.853,152958,5466.912,270.371,,,
80,2,153008,797770.3,510986.8,49920,673452.0,347966.7,7,268050.4,680905190,,51513,1977.971,135.897,153008,4990.532,53.660,,,
80,3,150925,784286.1,950377.4,48594,652198.5,89970.63,6,221832.1,1069324858,,50195,2068.156,20.578,150925,5643.370,198.696,,,
80,4,152378,764898.5,6417141,49982,640698.8,126581.6,5,236133.2,558891773,,51720,2695.872,4514.368,152378,5425.299,25265.93,,,
80,5,1432,1979.546,1.431,,,,,,,,,,,1432,58.877,0.000,,,
80,6,4707,5364.367,172.922,4,46.240,25.142,,,,,4,0.149,0.000,4707,203.514,0.022,,,
80,7,263,347.690,1.483,,,,2025,907863.1,1457182,,,,,263,10.588,0.000,,,
80,8,4486,5946.671,12.179,,,,,,,,,,,4486,167.409,0.001,,,
80,9,2277,3176.470,11.219,,,,,,,,,,,2277,95.264,0.002,,,
80,10,2098,2808.828,84.860,,,,,,,,,,,2098,78.278,0.009,,,
80,11,295,423.724,0.596,,,,,,,,,,,295,15.016,0.000,,,
80,12,312,453.190,2.489,,,,,,,,,,,312,16.293,0.001,,,
80,13,153,420.850,11.017,13,102.574,1.263,,,,,23,14.605,4.666,153,7.627,0.000,,,
80,14,431,724.847,1.866,7,54.360,3.590,,,,,12,0.381,0.000,431,21.248,0.000,,,
80,15,1182,1596.181,2.533,,,,,,,,,,,1182,45.593,0.000,,,
80,16,1523,2118.329,2.571,,,,,,,,,,,1523,62.374,0.000,,,
80,17,160,252.313,0.535,,,,,,,,,,,160,6.789,0.000,,,
80,18,5376,7483.757,18.670,8,63.294,5.735,,,,,9,0.306,0.000,5376,201.469,0.002,,,
80,19,3189,4323.667,12.327,,,,,,,,,,,3189,125.773,0.002,,,
70,0,3254,4603.841,11.917,,,,,,,,,,,3254,123.992,0.000,,,
70,1,196437,1072377,2796788,73752,912647.0,437547.6,8,341033.4,823135885,,77395,5625.283,3256.265,196437,6642.024,562.049,,,
70,2,195589,1062893,819768.8,72646,907409.7,201763.3,9,378648.3,618905773,,76663,4272.841,2250.734,195589,6593.818,214.026,,,
70,3,193256,990534.0,873293.4,71761,820038.9,107930.0,7,222644.5,351455139,,75966,6574.929,18277.93,193256,7336.877,325.534,,,
70,4,197102,1083948,3247894,73248,925419.6,850535.8,9,369770.2,477546521,,76886,3989.862,2620.440,197102,6694.447,546.068,,,
70,5,2551,3374.761,3.514,,,,,,,,,,,2551,103.340,0.001,,,
70,6,3612,4992.152,159.804,,,,,,,,,,,3612,156.671,3.390,,,
70,7,442,638.581,1.091,,,,3154,1293203,848950.5,,,,,442,19.537,0.000,,,
70,8,2326,3041.314,8.312,,,,,,,,,,,2326,91.630,0.002,,,
70,9,2783,3973.514,5.621,,,,,,,,,,,2783,112.307,0.000,,,
70,10,2781,3829.946,4.725,,,,,,,,,,,2781,122.475,0.232,,,
