TIME,RECV,XMIT
5,0,0
108,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1239,0,0
1342,0,0
1445,0,0
1549,1115320,77390556
1652,2963292,203986668
1755,4814364,330273272
1859,6735056,456465532
1962,8614924,582606132
2065,10462092,708960076
2168,12323872,835143768
2272,14172464,961459700
2375,33621740,1087507900
2478,77691832,1154579644
2581,105776276,1163430968
2685,131766500,1186178028
2788,171231528,1223485844
2891,204261048,1260358216
2994,270247732,1327987564
3098,323823504,1385653860
3201,383663248,1453919972
3304,455453040,1516440212
3407,534279692,1572034920
3511,605656360,1637194556
3614,667515132,1702595676
3717,739456640,1741859052
3821,823232088,1792646864
3924,899518364,1839434324
4028,979493616,1904141840
4131,1040567884,1945078472
4234,1115093852,1996479848
4338,1196188892,2059254084
4441,1289041084,2122852728
4544,1382778984,2192761052
4647,1472405736,2257971536
4751,1561115952,2328901888
4854,1655290264,2402834272
4957,1749291124,2461525736
5061,1834420956,2525589996
5164,1917717620,2601629468
5267,2007833220,2664524232
5371,2093313124,2733882388
5474,2179737628,2807455488
5577,2269276272,2873510388
5681,2355775572,2943045356
5784,2440332380,3004135568
5887,2524365248,3081805552
5990,2610123268,3160089124
6094,2697078888,3234558680
6197,2782930356,3318291496
6300,2872660556,3392416396
6404,2962689812,3464852248
6507,3052878336,3535041932
6610,3134401124,3617541728
6714,3220727692,3681191972
6817,3307098692,3752196184
6920,3396665140,3820948328
7024,3482227932,3896468200
7127,3570696536,3962178236
7230,3660720536,4020413896
7334,3745513312,4102913216
7437,3828027612,4183140604
7540,3913750740,4260096836
7644,3997990028,4336488788
7747,4087736044,4408366496
7851,4174719964,4485162700
7954,4262880004,4549490312
8057,4346336632,4626608792
8160,4431591724,4697375424
8264,4515466540,4767567268
8367,4600862300,4838535744
8470,4686866292,4909870416
8574,4775261112,4974778508
8677,4862787900,5040485880
8780,4948866820,5123170980
8884,5032501288,5198822824
8987,5117928036,5274732560
9090,5200235476,5355451076
9193,5283505808,5429662788
9297,5368739024,5505986596
9400,5457536524,5568238752
9503,5541539924,5640182964
9606,5624737724,5713611020
9710,5710806448,5784201020
9813,5798644212,5851696040
9916,5882105012,5925050032
10019,5970593932,5997622204
10123,6057085540,6061278772
10226,6142090296,6138229360
10329,6227846500,6219639608
10433,6311250440,6298169616
10536,6393141636,6379688324
10639,6474630924,6463701680
10743,6562500300,6535694200
10846,6648910200,6595946752
10949,6733237484,6669885156
11052,6822206808,6733602144
11156,6904676448,6805312048
11259,6986175524,6881192288
11362,7071247832,6945863828
11466,7157252200,7017274484
11569,7243392280,7086364232
11672,7328346508,7165978964
11776,7413851496,7244799196
11879,7499412516,7326315568
11983,7581372760,7407389236
12086,7665815660,7479734048
12189,7747533952,7560005276
12292,7836450724,7621158684
12395,7919622952,7695153924
12499,8001552008,7759910896
12602,8084472864,7829295388
12705,8172604876,7895335148
12808,8257329968,7962923480
12911,8343377456,8033952588
13015,8430511592,8109616072
13118,8518292852,8194868496
13221,8605396196,8279752324
13324,8692002940,8366818568
13428,8779569432,8451344920
13531,8871689780,8526462236
13634,8950542156,8598943796
13738,8994934080,8631317944
13842,9017429268,8656768588
13945,9037477976,8678307908
14048,9059384660,8695303536
14152,9089829936,8733324576
14256,9118445820,8776549596
14359,9146710048,8824113740
14462,9179679056,8856173180
