RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.25,0.15,0:04.41,0,100590,0,0
90,4.33,0.48,0:04.86,815,113346,224214,212415
80,4.36,0.71,0:05.12,3704,116077,298056,272189
70,4.38,0.81,0:05.26,4541,116948,370917,323995
60,4.43,1.07,0:05.57,5485,121124,380809,364041
50,4.48,1.68,0:06.26,29502,167391,578633,534197
40,4.77,4.79,0:10.94,25486,696985,2569996,2518476
30,5.15,4.21,0:14.31,182,1130827,3514502,3799678
20,5.15,4.32,0:14.24,33,1129472,3484843,3849749
10,5.04,6.36,0:14.57,18575,1037923,3580276,3820908
5,5.30,9.79,0:20.14,60741,1481925,3775982,5617728
