RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.50,0.85,0:03.35,12,524478,81522,60858
90,3.16,3.28,0:08.72,41,856993,1486009,1136958
80,4.44,3.26,0:08.40,18,771492,1817603,2028045
70,3.64,5.02,0:13.82,19,954143,2935099,2803073
60,3.25,5.78,0:15.26,15,997923,3255415,2805373
50,3.37,6.79,0:16.05,19,982540,3804486,2812664
40,3.46,7.33,0:16.84,15,991833,4296439,2816166
30,3.60,7.76,0:17.70,15,995436,4564698,2822733
20,3.76,8.43,0:18.09,18,978027,4851348,2828653
10,4.04,8.80,0:18.91,15,988070,5140014,2831652
5,4.02,9.55,0:19.67,15,986356,5384551,2835873
