RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.28,0.17,0:04.46,0,104861,0,0
90,4.39,0.45,0:04.85,5269,110432,159638,83376
80,4.45,0.45,0:04.93,4014,109956,299017,255732
70,4.51,0.59,0:05.14,4587,111053,373691,344777
60,4.56,0.50,0:05.16,4694,117208,378822,353272
50,4.55,0.49,0:05.11,3413,118960,419246,351717
40,5.09,1.90,0:07.06,47465,263737,906625,847848
30,5.49,3.65,0:11.13,7980,999204,2572373,2680147
20,5.56,4.55,0:12.99,6709,1096514,3184026,3348397
10,5.68,11.56,0:26.12,36047,2158336,6113731,7310088
5,6.21,8.20,0:27.17,4425,2516385,6248138,7713431
