RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.54,1.27,0:08.83,39,678341,4698,3077
90,7.68,1.47,0:09.21,30,689364,173644,65832
80,7.59,1.74,0:09.44,26,689376,386217,68980
70,7.80,2.32,0:10.15,89,689390,695197,119850
60,7.63,3.14,0:10.81,1902,697157,1060067,231174
50,7.87,4.83,0:13.16,12772,753335,1687228,826686
40,8.08,5.65,0:14.97,11085,843304,2192204,1539966
30,8.47,5.92,0:16.03,21690,943777,2731095,2466430
20,9.05,5.69,0:17.23,2532,1007378,3430499,3029406
10,9.57,5.76,0:17.57,4677,1068758,3675285,3741251
5,10.13,8.02,0:19.40,39432,1176288,4043165,3667868
