TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
312,0,0
415,0,0
518,0,0
621,0,0
724,0,0
827,0,0
930,0,0
1033,15670532,251637576
1137,29054512,409235432
1240,29433236,409650132
1343,45890288,439911148
1447,47252220,443225516
1550,58371500,479683192
1653,69111628,487753268
1756,78275988,504782000
1860,87003788,508839600
1963,100883324,509076476
2066,115232912,516432024
2169,124658016,516800080
2272,133408200,522425864
2375,148584200,522684864
2479,165509120,539177228
2582,182181476,539493500
2685,191373796,539649048
2788,204815396,539878448
2891,223460196,540196648
2995,245162576,542134832
3098,252967440,542272376
3201,273403928,546634032
3304,283427816,550383688
3407,312151188,558282952
3511,321691876,558550008
3614,343824136,560234952
3717,352062536,560375552
3820,380280264,563219688
3924,388522632,563638304
4027,412009016,569081288
4130,421548216,569244088
4233,448975808,577473016
4337,456780608,577606216
4440,478027008,577968816
4543,492162368,578210056
4646,492353152,578213312
4749,507962752,578479712
4852,512784384,578562000
4956,512784384,578562000
5059,512784384,578562000
5162,512784384,578562000
5265,512784384,578562000
