TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
313,0,0
416,0,0
518,0,0
621,0,0
724,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1756,0,0
1860,0,0
1963,0,0
2066,0,0
2169,0,0
2272,0,0
2375,0,0
2479,2525072,177843360
2582,5245572,367715256
2685,7897992,553951224
2789,10927436,765047904
2892,13887752,971813616
2995,15883780,1110812928
3099,17274748,1209434760
3202,18148576,1270207320
3305,20110876,1406704488
3409,104312628,1563595440
3512,281989996,1696380004
3615,436455156,1871161920
3718,593934872,2052304660
3822,743247144,2237587100
3925,897381104,2428897548
4028,1048880312,2615060328
4131,1176208608,2775294108
4235,1179117336,2883481360
4338,1267618988,2981213336
4441,1368539956,3051789456
4544,1468368452,3122076024
4647,1554358852,3219223660
4750,1629845096,3339932080
4854,1715593764,3433948852
4957,1823131772,3487934620
