TIME,RECV,XMIT
4,0,0
107,0,0
209,0,0
312,0,0
415,0,0
517,0,0
620,0,0
723,0,0
826,0,0
928,0,0
1032,0,0
1135,0,0
1238,0,0
1341,0,0
1445,0,0
1548,0,0
1651,0,0
1754,96532,8328544
1858,3617808,252849340
1961,6538132,455387256
2065,9845644,681083024
2168,12659268,878371224
2271,16216268,1124460988
2375,19171560,1328573600
2478,22667656,1570237288
2581,25594488,1773095564
2685,28052976,1943501996
2788,30805216,2134108028
2891,33920284,2352255020
2995,36377900,2520272252
3098,38575988,2675842840
3201,41318496,2866762724
3304,44066708,3056916980
3408,46742564,3244445296
3511,49702260,3450791804
3614,52858740,3671659252
3718,55386296,3848114696
3821,57884648,4021260012
3924,60467876,4200700868
4028,63031576,4378965596
4131,198905456,4547043044
4235,485474144,4758844540
4338,754274004,5000343280
4441,995320840,5259488020
4545,1285481164,5494655944
4648,1594060572,5602241692
4752,1910613220,5619176052
4855,2226543396,5651940524
4959,2542225620,5684672072
5062,2858476100,5731508832
5165,3174501236,5764253360
5269,3490152060,5802351280
5372,3806315004,5838677852
5476,4122199396,5859051284
5579,4437911908,5884536448
5682,4631144568,5921836436
5786,4631987520,5956177108
5889,4632599028,5999169676
5992,4633368384,6053834572
6095,4634515448,6134688364
6199,4635532308,6206117836
6302,4636262112,6255895732
6405,4636786260,6292967428
6508,4637448048,6338926948
