TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
313,0,0
415,0,0
518,0,0
621,0,0
723,0,0
826,0,0
929,0,0
1033,0,0
1136,0,0
1239,0,0
1342,0,0
1445,0,0
1549,0,0
1652,0,0
1756,0,0
1859,0,0
1963,0,0
2066,0,0
2170,0,0
2273,0,0
2377,0,0
2480,0,0
2584,0,0
2687,903652,35371312
2791,903652,35371312
2894,903652,35371312
2998,903652,35371312
3101,925332,35371684
3205,1034268,43004092
3308,2939632,176760564
3412,5432672,327585524
3515,25046520,434119404
3618,101227048,652527976
3722,203606172,725696768
3825,230119048,840201872
3929,281184972,886846476
4032,307274684,887281744
4135,310834540,887342496
4239,314450764,887404288
4342,317936908,887463412
4445,321387920,910814232
4549,324873428,941872912
4652,328557352,979480516
4756,331845408,1018371996
4859,335062732,1046811592
4963,338542592,1096832700
5066,341887728,1123447392
5169,344829092,1137607372
5273,348045940,1168305480
5376,351420092,1206824932
5480,465342908,1387572516
5583,610911948,1549658352
5687,773112564,1681388556
5790,930658920,1808308724
5893,999059876,1963564452
5997,1078599060,1967675340
6100,1108823804,2010058872
6203,1172122660,2099984420
6307,1254277108,2167914420
6410,1345184536,2223411332
6514,1403754092,2293754708
6617,1440555552,2331540952
6721,1449180956,2347614656
6824,1470379368,2395930556
6927,1510099896,2575082376
7031,1552841936,2618893692
7134,1604707088,2743694436
7237,1667003324,2782253996
7341,1725767640,2858237208
7445,1785848620,2906448640
7548,1845887236,2964244472
7651,1905966760,3029246256
7755,1966463852,3093953412
7858,2035756232,3204503232
7961,2123327124,3298603112
8065,2231904756,3355071416
8168,2327582756,3452267888
8272,2440100012,3552667332
8375,2522778704,3653086412
8478,2585827620,3720763848
8582,2657045052,3772696692
8685,2734105928,3824652284
8789,2807529184,3966631020
8892,2894553496,4027865708
8995,2984467436,4084754368
9099,3077648756,4151816220
9202,3177059008,4216443676
9305,3276568496,4304686944
9409,3378368076,4374347012
9512,3473623860,4451094660
9615,3592083164,4528089168
9719,3715692124,4594508928
9822,3807274300,4668890792
9925,3951097856,4688595084
10029,4090992308,4809138076
10132,4174491520,5012834780
10235,4324025908,5118870476
10339,4441386320,5306974576
10442,4532473064,5456583060
10546,4691822928,5492963580
10649,4817649760,5689861668
10753,4964743592,5827872460
10856,5123689348,5974007660
10959,5299369936,6101914700
11063,5471360228,6256358932
11166,5598317316,6417008544
11269,5717881332,6478297428
11373,5810865852,6646479804
11476,6007894372,6677944580
11579,6209860412,6868310912
11682,6335068184,6949876004
11785,6355739804,6982469440
11889,6374598496,7001553720
11992,6389079728,7034080508
12095,6400982096,7065852700
12199,6421731280,7089717164
12302,6448091840,7115968720
12405,6465483040,7144689720
