TIME,RECV,XMIT
4,0,0
107,0,0
209,0,0
312,0,0
415,0,0
518,0,0
621,0,0
723,0,0
826,0,0
929,0,0
1032,0,0
1135,0,0
1238,0,0
1341,0,0
1444,0,0
1548,0,0
1651,0,0
1755,0,0
1858,0,0
1961,0,0
2065,0,0
2168,0,0
2271,0,0
2375,0,0
2478,0,0
2581,0,0
2684,0,0
2788,0,0
2891,0,0
2994,0,0
3098,0,0
3201,0,0
3304,0,0
3408,0,0
3511,2969288,202438420
3614,6714460,460554556
3718,10473580,718942168
3821,14294828,983282192
3925,17997096,1237893800
4028,21879100,1504671888
4131,25830920,1777146012
4235,159478968,2021620800
4338,366196876,2277555332
4442,574095928,2518007168
4545,795218704,2758831180
4649,1025852956,2979897120
4752,1248763900,3236861136
4856,1469518404,3491915348
4959,1699439364,3730738804
5062,1920197756,3977267832
5166,2137177484,4237856136
5269,2361325744,4477678836
5373,2586722640,4716542848
5476,2811734324,4960335584
5580,3031223696,5217103728
5683,3256773896,5457282544
5787,3477513536,5689572244
5890,3707529600,5915987008
5994,3939938932,6150636340
6097,4150417632,6409820112
6200,4401932188,6649829060
6304,4629772068,6900753648
6407,4869320276,7121483668
6511,5115167544,7357916840
6614,5359021476,7578596476
6717,5645139460,7686835700
6821,5940413060,7802666224
6924,6239909960,7886800204
7028,6544183120,7934148080
7131,6846468160,8002221444
7234,7151502968,8023710368
7338,7363929536,8047249332
7441,7449619764,8105255208
7544,7530508684,8170364164
7649,7584699476,8305807024
7753,7654621360,8393667720
7856,7731459980,8475562044
7960,7829970160,8513478212
8063,7913888216,8579617436
8167,7999437024,8648317084
8271,8054071244,8785262656
