TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
724,0,0
827,0,0
930,0,0
1033,0,0
1136,0,0
1238,0,0
1341,0,0
1445,0,0
1548,0,0
1651,0,0
1754,3891672,181894348
1857,11117016,496091100
1961,64513772,770586928
2064,95424352,857526892
2168,112593312,929086716
2271,173438656,1088071860
2375,194975212,1099038660
2478,222998248,1153234812
2581,240606820,1154607132
2685,254124924,1155181832
2788,309631684,1204239920
2892,334745060,1205216048
2995,363633128,1207646016
3098,381384712,1207948972
3202,394704904,1208176300
3305,445908728,1209061636
3409,475727400,1209559064
3512,503711944,1210040952
3615,521183920,1282893388
3719,535538336,1321147372
3823,556984324,1364351144
3926,616592692,1366379264
4029,631903480,1367108972
4133,664092468,1368016584
4236,679632692,1368281800
4339,696647156,1368584016
4443,758482852,1369627488
4546,773958036,1369892704
4649,804747972,1370420768
4753,820643748,1370688352
4856,837233284,1370975252
4960,900258320,1407979060
5063,914958264,1408525924
5167,939208860,1408966516
5270,961326796,1409339844
5374,974620972,1409566728
5477,1036944228,1439366408
5581,1054631532,1525624976
5684,1068567836,1528025428
5788,1102876088,1544523660
5891,1116790656,1561490368
5994,1145138040,1567283056
6098,1197823688,1568167136
6201,1210059880,1568375964
6304,1243928376,1568957604
6408,1282037480,1569604364
6511,1285315496,1569660308
6615,1286308440,1569677252
6718,1301072520,1569929224
6822,1301072520,1569929224
6926,1301072520,1569929224
7029,1301072520,1569929224
7133,1301072520,1569929224
