TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
518,0,0
622,0,0
724,0,0
827,0,0
930,0,0
1033,0,0
1136,0,0
1239,0,0
1342,0,0
1445,0,0
1548,0,0
1651,0,0
1754,0,0
1858,0,0
1961,0,0
2064,0,0
2168,3407444,168966328
2271,36701492,482783040
2374,59502792,578841588
2478,62104392,578893388
2582,107778208,692153848
2685,119371972,738067836
2788,123237628,751353724
2892,125299072,764274412
2995,147974268,867010700
3098,179348468,1045398908
3201,196685516,1049156632
3305,198588588,1049462200
3408,199043500,1049747912
3512,234095684,1140804480
3615,256924808,1162206028
3718,269060412,1177277752
3822,274664728,1236408284
3925,275686612,1237541860
4029,338325352,1250722400
4132,356939444,1264782308
4236,370770736,1268248868
4339,401219020,1287126544
4443,434714620,1287712996
4546,506561388,1307095232
4649,522977484,1307375396
4753,543321996,1307722604
4856,580919452,1308371656
4960,640318316,1309385384
5063,687580716,1310184584
5166,705931416,1320269384
5269,725057744,1323952896
5373,758964288,1331636484
5476,837445168,1422951784
5580,870072268,1461376008
5683,887064632,1467407376
5787,908758584,1468754776
5890,938269220,1469831284
5993,1005181960,1491315984
6097,1017073500,1498742692
6200,1049672680,1507503580
6304,1081357064,1512072400
6408,1084926304,1519168880
6511,1100329524,1520465380
6615,1105948980,1520561284
6718,1107297476,1520584296
6822,1109768996,1520626476
6926,1121818740,1520832124
7031,1121818740,1520832124
