TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1342,0,0
1445,0,0
1548,0,0
1651,0,0
1755,0,0
1858,0,0
1962,0,0
2065,0,0
2168,0,0
2272,0,0
2375,0,0
2479,0,0
2582,0,0
2686,0,0
2789,0,0
2893,0,0
2997,0,0
3100,0,0
3204,0,0
3307,0,0
3411,0,0
3514,0,0
3618,0,0
3721,0,0
3825,0,0
3929,0,0
4032,0,0
4136,0,0
4240,0,0
4343,0,0
4447,0,0
4550,0,0
4654,0,0
4758,0,0
4861,0,0
4965,0,0
5069,0,0
5173,0,0
5276,0,0
5380,0,0
5484,0,0
5587,0,0
5691,0,0
5794,0,0
5898,0,0
6002,0,0
6105,0,0
6209,0,0
6312,0,0
6416,0,0
6520,1600344,112765912
6623,6164040,425194016
6726,10816004,737413956
6830,21231564,1049886584
6933,177848576,1252245948
7037,183545380,1400434816
7140,193628804,1451109860
7244,235141668,1451817300
7347,239330244,1451888784
7451,243583860,1451962416
7555,247885172,1452034788
7658,252078084,1452108640
7762,255694308,1452168060
7865,256622212,1452183896
7969,275087696,1684777488
8072,330721668,1883646588
8176,395342904,2132630448
8279,459908360,2384457068
8383,540604556,2501708132
8486,634337876,2636010072
8590,733347424,2775648940
8693,837043244,3018875340
8796,945286988,3234282324
8900,1062058136,3417108096
9003,1179124836,3605777772
9107,1329484140,3800318564
9210,1521896348,3975539504
9313,1718210780,4149700184
9417,1851105076,4306183304
9520,1906739060,4401117940
9624,1974070568,4463376860
9727,2041073616,4573533128
9830,2116507292,4668907228
9934,2193648832,4796834584
10037,2295143928,4897136224
10141,2401421856,5118456512
10244,2518699860,5318121988
10348,2638157108,5532085948
10451,2800111412,5711282924
10554,2994395604,5914221024
10658,3163558092,6073454508
10761,3375792172,6084636512
10865,3505434516,6115472760
10968,3609537984,6298943996
11072,3619288500,6609455588
11175,3825472632,6769098424
11279,4050454260,7024883152
11382,4173030036,7271030712
11486,4235939476,7572936760
11589,4336456340,7761952152
11692,4517514520,8012347688
11796,4732061396,8201116848
11899,5043479312,8212629528
12002,5213045868,8236382404
12107,5257587200,8257156104
12210,5301903092,8283938976
12314,5319699064,8321589600
12417,5328959356,8337563140
12521,5339657828,8352738640
12624,5351674012,8372813056
12727,5365071488,8395221492
12831,5379597776,8419312104
