RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,2901,4555.840,37.442,,,,,,,,,,,2901,118.911,0.000,,,
100,1,524671,434101.9,123762.3,5,57.233,73.330,,,,,13,0.613,0.000,524671,18887.54,14967.55,,,
100,2,524809,436930.9,312095.3,4,61.781,48.833,,,,,13,0.442,0.000,524809,17576.47,4019.368,,,
100,3,534047,441012.6,80203.79,208,1735.487,3.860,,,,,9485,516.164,3.852,534047,18359.25,1341.527,,,
100,4,524855,435522.1,101644.8,5,50.417,52.844,,,,,13,0.540,0.000,524855,18475.69,1372.356,,,
100,5,525775,435545.1,151261.5,50,402.015,2.368,,,,,1279,106.544,0.245,525775,17514.70,1321.977,,,
100,6,524562,429702.0,42726.60,7,51.667,6.500,,,,,13,0.504,0.000,524562,17957.05,935.890,,,
100,7,2002,3152.788,4.407,9,130.875,38.017,17,111423.4,22497406,,33,6.704,0.853,2002,88.313,0.000,,,
100,8,2323,3269.945,7.066,,,,,,,,,,,2323,94.402,0.004,,,
100,9,2584,3972.177,5.857,4,52.551,9.916,,,,,17,1.108,0.000,2584,129.055,0.254,,,
100,10,1988,3034.039,3.143,3,45.150,20.961,,,,,9,0.419,0.000,1988,83.779,0.000,,,
100,11,505,757.351,2.099,,,,,,,,,,,505,23.652,0.000,,,
100,12,783,1417.887,3.685,6,60.362,10.463,,,,,17,1.025,0.000,783,41.939,0.000,,,
100,13,303,578.789,5.755,5,53.634,21.260,,,,,16,1.057,0.000,303,31.634,0.785,,,
100,14,604,1035.756,5.387,9,116.647,50.522,,,,,22,0.836,0.000,604,31.422,0.000,,,
100,15,943,1461.611,2.437,6,56.988,8.882,,,,,18,7.429,1.205,943,47.830,0.000,,,
100,16,373,971.135,15.809,3,51.739,153.424,,,,,7,0.336,0.000,373,22.980,0.001,,,
100,17,2700,3957.232,7.640,4,30.719,6.110,,,,,24,1.000,0.000,2700,108.675,0.000,,,
100,18,2028,2828.372,1.137,,,,,,,,2,0.091,0.000,2028,82.075,0.000,,,
100,19,2893,3979.363,9.153,,,,,,,,,,,2893,128.541,0.000,,,
