TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
621,0,0
724,0,0
827,0,0
930,0,0
1033,0,0
1135,0,0
1238,0,0
1341,0,0
1444,0,0
1547,0,0
1650,0,0
1753,0,0
1855,0,0
1958,0,0
2061,0,0
2164,0,0
2268,0,0
2371,0,0
2474,0,0
2578,0,0
2681,0,0
2785,0,0
2888,0,0
2991,0,0
3095,0,0
3198,0,0
3302,0,0
3405,0,0
3508,0,0
3612,0,0
3715,0,0
3818,0,0
3922,0,0
4025,0,0
4129,0,0
4232,0,0
4335,0,0
4439,0,0
4542,0,0
4645,3454868,228936924
4749,8051488,543362152
4852,12663728,858799548
4956,17043036,1158574628
5059,198858332,1463879884
5163,438728720,1758590096
5266,703126112,2045988556
5369,939681584,2332687860
5473,1206639296,2604152812
5576,1451962864,2871477416
5679,1696269676,3157787372
5783,1925731104,3448428116
5886,2169297020,3725230504
5989,2420866236,3993164740
6093,2651571588,4290765332
6196,2897306188,4572209676
6300,3158361916,4855527464
6403,3391235280,5125125368
6506,3645141344,5415405744
6610,3882194632,5709156360
6713,4129854632,5986099204
6816,4398665680,6255728040
6919,4622367580,6548504648
7023,4875999716,6824569072
7126,5123020128,7110223480
7230,5255053020,7349852612
7333,5266581796,7549836272
7436,5269128244,7703862048
7540,5271278620,7808461308
7644,5271998004,7858877772
7749,5355968180,7893179476
7854,5456716356,7900092108
7959,5560306568,7905168780
8062,5638258888,7958179580
8166,5700756192,8042753168
8270,5719814108,8213964748
