RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,638,1083.517,1.119,,,,,,,,,,,638,34.842,0.000,,,
100,1,602,913.270,0.783,,,,,,,,,,,602,31.230,0.000,,,
100,2,1036,1649.751,1.235,,,,,,,,,,,1036,80.206,0.261,,,
100,3,517,810.841,0.998,,,,,,,,,,,517,27.536,0.000,,,
100,4,427,711.677,1.469,,,,,,,,,,,427,22.957,0.000,,,
100,5,261,424.007,1.524,,,,,,,,,,,261,12.923,0.000,,,
100,6,5925,8155.949,33.619,,,,,,,,,,,5925,255.831,0.031,,,
100,7,6871,9001.659,8.201,,,,,,,,,,,6871,299.649,0.005,,,
100,8,105061,91888.57,926.907,,,,,,,,,,,105061,3943.243,13.926,,,
100,9,105035,92565.45,3045.101,,,,,,,,,,,105035,3910.289,9.311,,,
100,10,105218,94473.92,1547.090,,,,,,,,,,,105218,3952.661,11.849,,,
100,11,105268,92016.01,36603.55,,,,,,,,,,,105268,3920.475,,,,
100,12,105131,91990.71,8766.794,,,,,,,,,,,105131,3835.701,26.846,,,
100,13,105597,92351.87,4255.221,,,,,,,,,,,105597,4027.767,178.569,,,
100,14,104967,91016.18,5909.877,,,,,,,,,,,104967,3966.346,80.211,,,
100,15,105067,91923.94,14660.36,,,,,,,,,,,105067,3874.312,92.037,,,
100,16,3649,5063.192,19.595,,,,,,,,,,,3649,167.272,0.037,,,
100,17,7988,10663.16,13.622,,,,,,,,,,,7988,361.034,0.777,,,
100,18,1564,3004.940,2.622,,,,,,,,,,,1564,99.712,0.000,,,
100,19,349,717.225,7.148,,,,,,,,,,,349,20.005,0.000,,,
90,0,1473,2775.375,0.959,,,,,,,,,,,1473,97.311,0.000,,,
90,1,613,982.500,0.801,,,,,,,,,,,613,32.620,0.000,,,
90,2,1090,1822.847,2.152,2,19.109,17.517,,,,,5,0.405,0.000,1090,72.895,0.001,,,
90,3,1226,1877.543,2.083,,,,,,,,,,,1226,71.444,0.000,,,
90,4,824,1511.923,0.776,,,,,,,,,,,824,52.233,0.002,,,
90,5,429,769.359,1.169,,,,,,,,,,,429,27.081,0.000,,,
90,6,8135,11003.22,34.939,3,22.334,4.981,,,,,4,0.158,0.000,8135,344.593,0.020,,,
90,7,2010,2460.662,1.066,8,65.026,18.245,816,1049919,11247474,,16,0.689,0.000,2010,93.370,0.001,,,
90,8,143081,270761.8,67155.16,20532,143415.4,2670.750,1,11266.81,0.000,,35552,1927.452,78.139,143081,5524.833,130.019,,,
90,9,136083,212612.0,35416.56,11530,87687.02,83.870,3,13770.54,16553539,,30375,1229.140,2.810,136083,5157.519,47.770,,,
90,10,138402,264627.5,38832.58,19599,140007.6,809.478,1,13427.00,0.000,,33592,1450.412,15.093,138402,5257.263,63.752,,,
90,11,134167,206683.5,229705.4,11548,87359.25,1854.560,3,34132.39,122595070,,28151,1094.603,1.708,134167,5125.753,251.296,,,
90,12,134615,216365.7,173845.6,12148,88765.73,368.960,3,43025.42,164334321,,29630,1281.323,10.248,134615,5627.260,145.904,,,
