TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
934,0,0
1037,0,0
1141,0,0
1245,0,0
1349,0,0
1453,0,0
1557,0,0
1660,0,0
1764,0,0
1867,0,0
1971,0,0
2075,0,0
2178,0,0
2282,0,0
2386,0,0
2489,0,0
2593,0,0
2697,0,0
2801,0,0
2904,0,0
3008,50512,9512800
3111,1836324,272368008
3215,3585876,533113856
3319,5319328,788764152
3423,7029912,1031394920
3526,8745892,1286557168
3630,10377144,1526474120
3735,12002768,1764728400
3838,12877852,1893970128
3942,13793340,2031641024
4046,14703844,2163248544
4149,15898380,2340219712
4253,17410100,2563940088
4357,18819088,2773449168
4461,20130188,2966430792
4565,20851412,3071228760
4669,21428632,3157811784
4772,32028804,3211326008
4876,82391092,3211816888
4980,140795180,3212384088
5084,199145656,3212949608
5187,257962144,3213520208
5291,317339496,3214095328
5395,377290084,3214677528
5499,425099616,3215138208
5602,441147668,3270957312
5706,461114280,3428207752
5810,481446968,3708514832
5913,485741540,4039710888
6017,527138400,4259148008
6121,581944468,4422601368
6224,667979212,4485516288
6328,751918752,4502459168
6432,835823472,4511478272
6536,922738024,4513113104
6640,997692148,4537788520
6744,1065174888,4594512432
6847,1125145916,4632555376
6951,1150146620,4648597552
7055,1150146620,4648597552
7159,1150146620,4648597552
7263,1150146620,4648597552
7367,1150146620,4648597552
7470,1150146620,4648597552
7574,1150146620,4648597552
7679,1150146620,4648597552
7783,1150146620,4648597552
7886,1150146620,4648597552
7990,1150146620,4648597552
8094,1150146620,4648597552
8198,1150146620,4648597552
8303,1150146620,4648597552
8406,1150146620,4648597552
8510,1150146620,4648597552
8614,1150146620,4648597552
8717,1150146620,4648597552
8821,1150146620,4648597552
8925,1150146620,4648597552
9029,1150146620,4648597552
9133,1150146620,4648597552
9237,1150146620,4648597552
9341,1150146620,4648597552
9445,1150146620,4648597552
9549,1150146620,4648597552
9654,1150146620,4648597552
9757,1150146620,4648597552
9862,1150146620,4648597552
9966,1150146620,4648597552
10069,1150146620,4648597552
10173,1150146620,4648597552
10277,1150154868,4648597632
10381,1151173496,4648613272
10485,1165702348,4648748432
10588,1177521732,4648863072
10692,1177521732,4648863072
10795,1177521732,4648863072
10899,1177521732,4648863072
11002,1177521732,4648863072
11106,1177521732,4648863072
11209,1177521732,4648863072
11313,1177521732,4648863072
11416,1177521732,4648863072
11520,1177521732,4648863072
11624,1177521732,4648863072
11728,1177521732,4648863072
