TIME,RECV,XMIT
4,0,0
106,0,0
209,0,0
312,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1243,0,0
1347,0,0
1451,0,0
1554,0,0
1658,0,0
1762,0,0
1865,0,0
1969,0,0
2073,0,0
2177,0,0
2280,0,0
2384,0,0
2488,910672,137129080
2591,2240392,332402048
2695,3567900,528527032
2799,4978456,736410664
2902,6335196,936650968
3006,7669004,1134889448
3109,8771868,1296234808
3213,9762144,1409509680
3317,10710392,1549459512
3421,12155276,1763650544
3525,13594308,1976203720
3629,14880880,2165177560
3733,15860320,2309354384
3836,16800476,2448596960
3940,18277280,2667875272
4044,19707856,2879195920
4148,20914460,3056646864
4252,21861784,3196174824
4356,22844668,3342403104
4460,24320716,3560618464
4565,25749584,3771719904
4668,26894084,3939327168
4772,27789384,4072630448
4876,28708484,4208282976
4980,29790684,4366398120
5084,30840892,4476679448
5187,32567832,4518958992
5291,34133900,4752655400
5394,35975264,5024634624
5498,41499772,5300354768
5602,132996604,5391779408
5706,245256180,5394720976
5809,357381456,5397927608
5913,580021552,5403548960
6016,684895464,5573470128
6120,706301940,5859797744
6224,755289216,6106050000
6327,881664240,6248701952
6431,955483832,6300579360
6535,955957284,6370068296
6639,958453012,6455644232
6742,959115744,6553022216
6846,975184868,6646106704
6950,1082856108,6711097720
7053,1273574612,6712957880
7157,1512362460,6715280400
7261,1726498684,6747824096
7364,1873969860,6861481664
7468,1962220896,7048935768
7572,2087375636,7178798728
7675,2180210264,7377833800
7779,2233029624,7595741808
7883,2329318676,7764312896
7986,2408892248,7960386720
8091,2616469836,8006269728
8195,2742844280,8157081952
8299,2891856912,8249063488
8403,3060623476,8332554800
8507,3204279660,8436404504
8610,3352632688,8543483352
8714,3509623600,8648514640
8819,3667771196,8748149880
8922,3798764064,8871456168
9026,3947534376,8979671840
9130,4112608780,9065403032
9233,4277818020,9162753656
9337,4465534676,9238070560
9441,4649011968,9314447728
9545,4855037700,9369861960
9649,5073084032,9425691504
9753,5256801068,9494399968
9856,5473757140,9546423704
9960,5669287880,9606171312
10064,5857137876,9665928400
10168,6032981820,9728020496
10272,6223231320,9783065624
10376,6405070256,9845167208
10479,6569211132,9918386568
10583,6753157780,9985921256
10687,6919279656,10064919608
10791,7083466468,10147925112
10895,7258199328,10220493168
10999,7407149320,10305100912
11102,7564714448,10387674672
11206,7706088436,10471416248
11310,7840409008,10556639064
11414,7993328908,10623589248
11517,8148461480,10688634216
11621,8304220352,10750697224
11725,8445954888,10833316456
11828,8586092548,10919214272
11932,8732226952,11007027472
12036,8868060632,11115938680
12140,9003960048,11212888776
12244,9143249440,11279939536
12348,9272172140,11355624640
12452,9397831568,11437805880
12556,9509510668,11522477176
12660,9616344748,11590863040
12764,9708810816,11699077568
12868,9845179828,11766520456
12972,9974417204,11873427256
13075,10096224852,11977824248
13179,10208307308,12077326384
13283,10361913720,12167932368
13387,10505750572,12263205344
13490,10633268292,12377203704
13594,10793935224,12476422216
13698,10940215168,12581494512
13802,11108780612,12649955664
13906,11311050656,12690592736
14010,11485311668,12775586384
14114,11618513800,12896510488
14217,11744646384,12956864872
14321,11883054964,13001040584
14425,12018417488,13077965576
14529,12151237256,13174585216
14633,12229950012,13254455472
14737,12303682240,13369829304
14841,12342251868,13537572744
14945,12480910816,13572631896
15048,12592805904,13646005752
15152,12694540296,13769571984
15256,12811294940,13888478928
15360,12933789792,13957220320
15464,12993837652,14150469160
15567,13119495836,14276504216
15672,13289840952,14337396016
15776,13468293252,14394175544
15880,13575309336,14535027544
15983,13657454180,14709252128
16087,13766219012,14852904568
16191,13948655696,14904255040
16295,14099018312,14935413840
16398,14217218036,15012187040
16502,14294754520,15120962976
16606,14373307892,15163251232
16710,14471158296,15182988536
16814,14494160808,15353893256
16918,14517170224,15522991320
17022,14539493664,15630363824
17126,14642949244,15644883488
17230,14704649460,15761402344
17333,14798338320,15926549352
17437,14911243140,16059507704
17541,14969072436,16190242528
17645,15008627312,16350694336
17748,15115183404,16489915552
17852,15340882304,16504960168
17956,15401551184,16603930032
18060,15402662868,16768112688
18164,15463320904,16902118640
18268,15649288316,16941880176
18372,15791141276,16962229616
18476,15819483660,17094849984
18579,15857068312,17260898224
18683,15970423500,17361664576
18787,16166642820,17391780720
18891,16362395316,17445437328
18994,16519669004,17619563680
19099,16569994352,17858363616
19203,16633068108,18035191024
19307,16713979972,18213437688
19411,16923995700,18266834280
19514,17128584164,18309048328
19618,17205383124,18454477024
19722,17299055956,18594301592
19825,17417816900,18678884152
19929,17593344848,18702252416
20033,17685474584,18845145480
20136,17749371988,19002326136
20240,17861572236,19043546672
20343,17963374660,19096039840
20447,18043070384,19274633768
20551,18166889264,19415753352
20655,18285155980,19555790320
20759,18416175848,19635728352
20863,18522549716,19795483536
20967,18659059920,19909436168
21071,18774319196,20050556800
21175,18880264468,20208181752
21279,19024812036,20318972128
21383,19139655928,20486397800
21487,19309877224,20572868024
21591,19464637216,20700540216
