TIME,RECV,XMIT
5,0,0
107,0,0
211,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1035,0,0
1139,0,0
1242,0,0
1346,0,0
1450,0,0
1554,0,0
1658,0,0
1761,0,0
1865,0,0
1968,0,0
2072,0,0
2175,0,0
2279,0,0
2383,0,0
2486,0,0
2590,0,0
2694,0,0
2797,0,0
2901,0,0
3005,0,0
3109,0,0
3212,0,0
3316,0,0
3420,0,0
3524,0,0
3627,0,0
3731,0,0
3835,0,0
3939,0,0
4042,0,0
4146,1304492,194470584
4249,2604112,387547336
4353,3877832,575305192
4457,5202344,770801504
4560,6659576,985257240
4665,11022396,1174108008
4769,110683284,1399938384
4872,256717852,1618184488
4976,347123024,1855731056
5079,482601968,2074601064
5183,727512056,2228652272
5287,989510492,2362854016
5390,1236393104,2517551592
5494,1467174504,2672236128
5598,1582603744,2900439344
5701,1693311776,3129727960
5807,1857265892,3359677608
5911,2001825064,3561649152
6014,2223815896,3723513192
6118,2478316524,3869939000
6222,2732972096,4022427480
6326,2945186432,4184977880
6429,3102233348,4430212088
6533,3236884412,4647106224
6636,3375807336,4880192384
6740,3556855332,5083116632
6846,3785971620,5241835128
6949,4028944084,5388968080
7053,4250276680,5552404768
7158,4429869500,5737301304
7262,4553856332,5958407696
7365,4694773664,6160204192
7469,4846744016,6380902016
7573,5106225120,6524476160
7678,5466105108,6559171240
7782,5871058028,6563094400
7885,6274674692,6567019520
7989,6489681936,6569070216
8093,6529932204,6569452752
8196,6529932204,6569452752
8300,6529932204,6569452752
8404,6529932204,6569452752
8507,6530084792,6569454232
8610,6530435332,6569457632
8714,6530435332,6569457632
8818,6530435332,6569457632
8921,6530435332,6569457632
9025,6530435332,6569457632
9128,6530435332,6569457632
9232,6530435332,6569457632
9336,6530435332,6569457632
9440,6530435332,6569457632
9543,6530435332,6569457632
9647,6530435332,6569457632
9750,6530435332,6569457632
9854,6530435332,6569457632
