TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1139,0,0
1243,0,0
1347,0,0
1451,0,0
1554,0,0
1658,0,0
1762,0,0
1866,0,0
1970,0,0
2073,0,0
2177,0,0
2281,0,0
2385,0,0
2489,0,0
2593,0,0
2697,0,0
2801,0,0
2904,0,0
3008,0,0
3112,0,0
3216,0,0
3319,0,0
3423,0,0
3526,0,0
3630,0,0
3734,0,0
3838,1233428,186376432
3942,2861960,423203912
4047,4576960,676298160
4151,6210032,917985320
4254,7876060,1164313072
4358,9525820,1407704264
4461,11149260,1647443368
4565,12704912,1877231256
4668,14416188,2130499216
4773,16047104,2370842176
4877,17432488,2574076944
4981,18514464,2734111192
5085,19527896,2883780624
5189,20294508,2997686064
5293,21173680,3126700312
5397,22384004,3295114776
5501,22614324,3303301560
5604,22614324,3303301560
5708,22614324,3303301560
5812,22614324,3303301560
5916,22614324,3303301560
6020,22614324,3303301560
6124,22614324,3303301560
6227,22614324,3303301560
6331,22614324,3303301560
6435,22614324,3303301560
6539,22614324,3303301560
6643,22614324,3303301560
6747,22614324,3303301560
6851,22614324,3303301560
6955,22614324,3303301560
7059,22614324,3303301560
7163,22614324,3303301560
7267,22614324,3303301560
7371,22614324,3303301560
7475,22614324,3303301560
7579,22614324,3303301560
7682,22614324,3303301560
7787,22614324,3303301560
7890,22614324,3303301560
7995,22614324,3303301560
8098,22614324,3303301560
8202,22614324,3303301560
8306,22614324,3303301560
8410,22614324,3303301560
8514,22614324,3303301560
8617,22614324,3303301560
8721,22614324,3303301560
8825,22614324,3303301560
8929,22614324,3303301560
9033,22614324,3303301560
9137,22614324,3303301560
9241,22614324,3303301560
9345,22614324,3303301560
9449,22614324,3303301560
9553,22614324,3303301560
9657,22614324,3303301560
9761,22614324,3303301560
9865,22614324,3303301560
9969,22614324,3303301560
10073,22614324,3303301560
10178,22614324,3303301560
10282,22614324,3303301560
10386,22614324,3303301560
10490,22614324,3303301560
10594,22614324,3303301560
10697,22614324,3303301560
10801,23253544,3303307760
10905,27315684,3303352880
11009,35745140,3303431320
11112,45246836,3303531720
11216,62947044,3303692760
11319,62947044,3303692760
11423,62947044,3303692760
11526,62947044,3303692760
11630,62947044,3303692760
11734,62947044,3303692760
11838,62947044,3303692760
11942,62947044,3303692760
12045,62947044,3303692760
12149,62947044,3303692760
12252,62947044,3303692760
12356,62947044,3303692760
