TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1345,0,0
1448,0,0
1552,0,0
1655,0,0
1759,0,0
1863,0,0
1966,99036,14629032
2070,99036,14629032
2174,133252,19683224
2277,133252,19683224
2381,133252,19683224
2484,133252,19683224
2588,133252,19683224
2691,133252,19683224
2795,133252,19683224
2899,149748,19683384
3002,149748,19683384
3106,149748,19683384
3209,149748,19683384
3312,149748,19683384
3416,149748,19683384
3520,149748,19683384
3623,149748,19683384
3727,149748,19683384
3830,149748,19683384
3934,149748,19683384
4037,149748,19683384
4141,149748,19683384
4245,149748,19683384
4348,149748,19683384
4452,149748,19683384
4555,149748,19683384
4659,149748,19683384
4763,149748,19683384
4866,149748,19683384
4970,149748,19683384
5073,149748,19683384
5177,149748,19683384
5280,149748,19683384
5384,149748,19683384
5487,149748,19683384
5591,149748,19683384
5695,149748,19683384
5798,149748,19683384
5902,149748,19683384
6006,149748,19683384
6109,149748,19683384
6213,149748,19683384
6317,149748,19683384
6420,149748,19683384
6524,149748,19683384
6627,149748,19683384
6731,149748,19683384
6834,149748,19683384
6938,149748,19683384
7042,149748,19683384
7145,149748,19683384
7249,149748,19683384
7353,149748,19683384
7457,149748,19683384
7561,149748,19683384
7664,149748,19683384
7768,149748,19683384
7871,149748,19683384
7975,149748,19683384
8079,149748,19683384
8182,149748,19683384
8286,149748,19683384
8390,149748,19683384
8494,149748,19683384
8597,149748,19683384
8701,149748,19683384
8805,190988,19683784
8908,661124,19688344
9011,661124,19688344
9115,661124,19688344
9219,661124,19688344
9322,661124,19688344
9426,661124,19688344
9530,661124,19688344
9634,661124,19688344
9737,661124,19688344
9841,661124,19688344
9945,661124,19688344
10049,661124,19688344
10153,661124,19688344
