TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1656,0,0
1760,0,0
1863,1893316,276549984
1967,3653788,533072976
2070,7238828,819850384
2174,12416296,1142141360
2278,76053320,1252574656
2381,95574888,1255917936
2485,104637184,1256890880
2589,114085064,1257561520
2692,144868012,1272636336
2796,187983228,1507821752
2900,217326412,1596800944
3003,256823496,1604425504
3107,297898820,1628518344
3210,340917064,1665652696
3314,384429572,1682315424
3418,395428428,1693987656
3521,404884224,1696436776
3625,412969228,1707909136
3729,421620400,1729355536
3833,491229732,1834717408
3936,557844692,1856485504
4040,616084712,1885987792
4144,645631696,1927313336
4247,683551216,1963834888
4351,732090304,1993187376
4455,755765492,2046306640
4559,765138216,2059631800
4663,771175752,2059690360
4766,799902132,2105729008
4870,845788168,2275553904
4974,898456460,2367386184
5078,931108480,2417586712
5181,959797584,2484013552
5285,966427268,2517341440
5388,1004060192,2563359416
5492,1019318584,2585622536
5596,1030814508,2629936664
5699,1040419556,2630067048
5803,1054102484,2647283088
5906,1118668744,2778802392
6010,1197979212,2938756208
6114,1265044288,2972132664
6218,1326928776,3035208456
6321,1350740432,3111440264
6425,1363412352,3156660872
6529,1400486624,3189543952
6633,1416776860,3196784480
6736,1425129668,3197117776
6840,1430071900,3197413856
6943,1484420316,3249130928
7047,1563634832,3424431408
7151,1624639496,3515050976
7254,1686528100,3566446208
7358,1701083960,3676142304
7461,1711702188,3748238752
7565,1740268824,3763790104
7668,1767324936,3778253544
7772,1776488464,3778344464
7876,1783948780,3778413104
7980,1811854408,3802194568
8083,1894648248,3959201616
8187,1978921048,4093451224
8291,2054472516,4136030608
8395,2102727296,4211415664
8498,2109481516,4290025616
8602,2126727436,4338558160
8706,2163908004,4357460048
8809,2180945580,4360388912
8913,2189032744,4360467352
9017,2201536936,4361119328
9121,2253113796,4482665928
9224,2319415900,4650507136
9328,2362683660,4701922456
9432,2397722928,4723615040
9536,2411177528,4759392304
9640,2461278836,4776864440
9743,2491023800,4796936600
9847,2500397652,4797027520
9950,2507207824,4797916584
10054,2516971200,4798904888
10158,2581592668,4944168792
10261,2672884568,5088748816
10365,2737295908,5103187120
10468,2833028776,5131050728
10572,2882335584,5200866280
10675,2895098028,5263916856
10779,2911855624,5264961472
10882,2949548984,5265317592
10986,2949548984,5265317592
11090,2949548984,5265317592
11193,2949548984,5265317592
11297,2949548984,5265317592
11401,2949548984,5265317592
11505,2949548984,5265317592
11609,2949548984,5265317592
11713,2949548984,5265317592
11817,2949548984,5265317592
11921,2949548984,5265317592
12025,2949548984,5265317592
12128,2949548984,5265317592
12232,2949548984,5265317592
