TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
521,0,0
624,0,0
727,0,0
830,0,0
933,0,0
1037,0,0
1140,0,0
1243,0,0
1346,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1861,0,0
1964,0,0
2068,0,0
2171,0,0
2275,0,0
2378,620280,92274280
2482,2139928,314208064
2585,5612172,520593904
2689,7113484,741290904
2792,8982284,955353624
2896,10471688,1176108488
2999,13975720,1417094184
3103,15585916,1654355824
3206,25093872,1884369072
3309,106314948,2066909576
3413,216853584,2210720992
3517,315362100,2329722912
3620,408443768,2446142840
3724,523381912,2544425816
3827,594880704,2694703328
3931,719012080,2786447688
4034,786972228,2948698280
4138,945257100,3028911728
4241,1066647612,3184627296
4345,1242424880,3266745800
4448,1361359100,3339744224
4552,1508462360,3381357776
4656,1590815036,3538983440
4759,1712724648,3634691960
4863,1818324088,3758800000
4966,1963845780,3852488000
5070,2075186868,4004321496
5174,2214098288,4079411704
5277,2325932988,4184363344
5381,2457264640,4257485944
5484,2577815216,4366165808
5588,2650321492,4521678024
5692,2821060436,4579905360
5795,2927996988,4744223640
5899,3114725700,4856249816
6002,3258339360,4901865000
6106,3395231728,4960667432
6209,3501942988,5085921664
6313,3598277288,5209726992
6417,3746916664,5264908784
6521,3812275236,5459312312
6624,3984575196,5518033648
6728,4059077828,5687383464
6832,4220457896,5714340416
6935,4300083572,5850924000
7039,4432391868,5924332688
7142,4566103504,6001826120
7246,4656909712,6151112440
7349,4807713684,6235948200
7453,4938565932,6380018736
7556,5082510984,6495401356
7660,5227164648,6548042772
7763,5371251712,6598012220
7867,5441422544,6741061508
7970,5561595080,6832948852
8074,5702048288,6913993172
8177,5799243840,7055793580
8281,5915581852,7187789788
8385,6077547472,7273114676
8488,6168756128,7401225420
8591,6296552544,7470195460
8695,6441136320,7527729492
8799,6532267396,7676520196
8902,6649438724,7802434228
9006,6796833032,7904256492
9109,6928271872,8036944716
9213,7079072020,8135532412
9316,7221376204,8191963956
9420,7359259960,8258331044
9524,7442735064,8406390868
9627,7590493836,8469940804
9731,7691764196,8615476892
9834,7830633976,8733902708
9938,7923447760,8888295332
10042,8089541120,8938078692
10145,8199339024,9046224244
10249,8337334352,9122106300
10352,8435620140,9253542348
10456,8578919548,9327840620
10560,8660960768,9522662788
10663,8833202456,9614290708
10767,8968559000,9761789644
10870,9135595328,9800815716
10974,9226377220,9970215812
11078,9385010328,10025896028
11181,9506216272,10200027764
11285,9600438360,10339626004
11389,9721510132,10457932948
11492,9863746228,10692650196
11596,10014222908,10779925332
11699,10121185260,11157118108
11803,10260840288,11224309428
11907,10337921688,11388643972
12010,10497489168,11964269860
12114,10585791208,12139889932
12218,10760054728,12221652244
12321,10869197400,12835297040
12425,11025338976,13486649880
12529,11175856556,13565707844
12632,11258172856,13719393892
12736,11412141600,14235755992
12840,11511234124,14895911416
12944,11664267168,15544141056
13047,11749883292,16207101320
13151,11916420888,16346129388
13255,12008480804,16487436764
13358,12155636764,16958303128
13462,12287437680,17609944144
13566,12366934836,18269505328
13669,12522735668,18917644416
13773,12602490004,19578928592
13877,12763175252,20229101312
13981,12909362004,20880059896
14084,13077986400,21500777308
14188,13183114612,21616448628
14291,13290601020,21720408652
14395,13418139044,22302214248
14499,13529187376,22956673024
14602,13657599944,23610581176
14706,13785535464,24263644392
14810,13925480300,24916029136
14913,14037560824,25570361496
15017,14185829848,26221136576
15121,14250918756,26883515792
15224,14404974560,27532879840
15328,14511992972,28190314216
15432,14673054076,28838292352
15535,14789747268,29497121248
15639,14954260548,30142523816
15743,15061321120,30797638704
15846,15206700832,31445982168
15950,15299405256,31896201684
16054,15408170728,32039035068
16157,15588615668,32113886876
16261,15683734056,32208778436
16364,15896014836,32299503420
16467,15954316612,32370319884
16571,16079851996,32432706596
16675,16173079192,32443512716
16778,16216879168,32455957420
16882,16241636188,32458120660
16986,16261681428,32495470348
17090,16286887324,32507717276
17194,16309643872,32532922492
17299,16337695880,32571655716
17403,16367034604,32580819708
17507,16389460752,32603891380
17611,16415497756,32612390564
17715,16436763628,32643139244
17819,16459969328,32658877244
17923,16485716824,32685521836
18027,16528499144,32728600196
