TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
624,0,0
727,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1964,0,0
2067,0,0
2170,0,0
2273,0,0
2377,0,0
2481,0,0
2585,0,0
2688,0,0
2792,0,0
2896,0,0
3000,0,0
3103,0,0
3207,0,0
3311,0,0
3414,0,0
3518,0,0
3622,0,0
3726,0,0
3830,0,0
3933,0,0
4037,695280,14378400
4140,919788,28049160
4244,1120448,41852032
4348,1120448,41852032
4452,1120448,41852032
4556,1120448,41852032
4660,1213060,54450368
4764,1272476,63090472
4868,1900468,156522752
4972,2949200,282796992
5075,5703860,461268344
5179,8297912,685829936
5283,28352076,954877832
5386,81203292,1292974624
5490,198309364,1508038936
5593,306099748,1688253336
5697,375768104,1766205072
5801,466481328,1826971024
5904,509621448,1862277504
6008,555382428,1893649056
6112,567643080,1893760056
6216,573349344,1902752472
6321,578909660,1906027976
6424,584261072,1914380208
6528,589408816,1920058864
6632,594321308,1922662792
6736,599453552,1927270304
6840,604623440,1977524168
6943,609671636,2032871864
7047,614497700,2073613864
7151,619382992,2143799168
7255,624022900,2292755184
7359,628868600,2384818128
7463,633348776,2393616680
7566,664467816,2488758992
7670,715247724,2562256496
7774,802093444,2693457448
7877,966205192,2929954768
7981,1152137612,3112342536
8084,1346703608,3297505752
8188,1514542408,3484059224
8291,1721205476,3616074080
8395,1893676604,3788508480
8498,2035653404,3934681568
8602,2170396688,4068574520
8705,2248810120,4165177856
8809,2308906184,4201841016
8913,2375363352,4205965112
9017,2404196212,4228915408
9121,2427290804,4310706200
9225,2479401300,4326121720
9329,2523393020,4380401056
9433,2585537908,4412913672
9536,2646046792,4459686304
9640,2676655752,4578982824
9744,2731082316,4653450176
9847,2768130804,4798819784
9951,2815970584,5004722704
10054,2873106876,5154791400
10158,2972039092,5204758560
10261,3033840644,5307318504
10365,3090712760,5509796104
10468,3161858040,5610701744
10572,3245970860,5661442696
10676,3331825740,5723110016
10779,3406512528,5821689232
10883,3484647788,5923307464
10986,3567832248,5997913904
11090,3646216948,6078880992
11193,3728341272,6146574552
11297,3811388464,6212213744
11400,3888184208,6300721840
11504,3968976780,6385552856
11608,4061392260,6472143632
11711,4170838924,6564463768
11815,4272320620,6656823112
11918,4396965356,6767695512
12022,4545009048,6849220888
12126,4679208156,6942519520
12229,4824418096,7028042296
12333,4931269356,7138278344
12436,5113418880,7226749544
12540,5228687144,7378211544
12643,5308100536,7470157488
12747,5400819956,7553790608
12851,5490736672,7652226808
12954,5590198292,7735242688
13058,5706683160,7777427976
13161,5805165532,7902861568
13265,5900918788,8072729768
13369,6014701404,8154786592
13472,6138312692,8216878224
13576,6256193752,8294458576
13679,6365451068,8393254088
13783,6488793472,8460841848
13887,6604228072,8534689408
13990,6710030820,8633417296
14094,6818828964,8722926784
14197,6922122712,8811550456
14301,7036461372,8895594424
14404,7154241864,8966331456
14508,7245751108,9047723712
14612,7324110832,9168365248
14715,7441037000,9216984952
14818,7495661716,9274292296
14922,7641588564,9300819408
15026,7807269144,9381005272
15129,7889019532,9556572352
15233,7911714628,9657217144
15336,7965649748,9684375160
15440,8021774752,9738396064
15543,8229160904,9808388288
15647,8394451032,9973624544
15751,8452334924,10290170816
15854,8567280616,10472983544
15958,8723985284,10596476504
16061,8905808304,10716193080
16165,9025807028,10936016928
16268,9085398884,11237518736
16372,9214652564,11367871952
16475,9348767472,11568787728
16579,9494111568,11660727264
16682,9723563756,11774081024
16786,9876818100,12009599208
16889,10053684484,12211556272
16993,10263390668,12320807168
17096,10433378140,12505480288
17200,10593943680,12660276016
17303,10713401972,12808812224
17407,10841170016,12895469072
17510,11079180196,13009182808
17614,11234239348,13245953016
17717,11320973084,13404669448
17821,11452372232,13496183656
17924,11659303060,13613471576
18028,11809573204,13756800888
18132,11889024224,13840869824
18235,12031168508,13891919984
18338,12091092448,13990537280
18442,12150100352,14125745592
18546,12230926068,14193080496
18649,12436184144,14241550856
18753,12644789492,14321131560
18857,12697377344,14457001280
18960,12770546344,14491635320
19064,12780270408,14503950520
19168,12789406240,14515016144
19272,12797696204,14530596392
19376,12805860060,14554952752
19480,12811542984,14574382992
19584,12816201664,14590003328
19688,12829574356,14605810008
19792,12847840896,14623137480
19896,12862878636,14641881512
20000,12871777604,14659675544
20104,12894250864,14667132272
20208,12959638792,14679047032
20311,12976895708,14768871280
20415,12993148296,14810623528
