RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,2297,3307.491,14.409,,,,,,,,,,,2297,95.196,0.005,,,
100,1,1774,2518.661,2.184,,,,,,,,,,,1774,70.277,0.001,,,
100,2,2557,3829.110,9.659,5,51.653,116.297,,,,,5,0.210,0.000,2557,99.672,0.002,,,
100,3,1956,2834.510,2.630,,,,,,,,,,,1956,77.333,0.000,,,
100,4,1788,2609.195,3.108,,,,,,,,,,,1788,70.975,0.001,,,
100,5,1008,1655.221,2.066,,,,,,,,,,,1008,51.933,0.000,,,
100,6,2765,4027.254,4.569,,,,,,,,,,,2765,112.349,0.002,,,
100,7,2745,4338.523,8.409,,,,9,35176.36,1037239,,,,,2745,127.287,0.137,,,
100,8,101451,161114.8,7885.405,1,43.430,0.000,,,,13348.03,1,0.042,0.000,101451,23453.91,3998.914,,,
100,9,101227,160978.4,3400.219,1,33.836,0.000,,,,13261.12,1,0.043,0.000,101227,23309.23,1775.125,,,
100,10,101347,161304.1,6220.071,1,34.363,0.000,,,,13455.98,1,0.052,0.000,101347,23549.92,3245.182,,,
100,11,101330,160119.6,4250.427,1,32.609,0.000,,,,13260.87,1,0.040,0.000,101330,23314.06,2213.854,,,
100,12,101512,161606.9,17413.40,12,168.401,186.810,,,,13211.69,14,0.587,0.000,101512,23310.84,6077.530,,,
100,13,101357,160978.8,2893.655,1,34.814,0.000,,,,13328.28,1,0.053,0.000,101357,23449.21,1491.212,,,
100,14,101382,160647.3,32727.91,1,33.013,0.000,,,,13427.10,1,0.047,0.000,101382,23528.00,16520.99,,,
100,15,101263,160364.9,5650.689,1,11.073,0.000,,,,13383.75,1,0.044,0.000,101263,23477.73,2895.763,,,
100,16,2530,3588.340,6.389,,,,,,,,,,,2530,104.519,0.002,,,
100,17,2106,3014.424,106.354,,,,,,,,,,,2106,82.558,0.031,,,
100,18,2595,3846.638,8.407,,,,,,,,,,,2595,103.682,0.003,,,
100,19,2523,3926.376,9.397,,,,,,,,,,,2523,121.325,0.208,,,
100,20,2052,2807.809,2.000,,,,,,,,,,,2052,82.021,0.001,,,
100,21,1118,1837.255,1.913,,,,,,,,,,,1118,50.942,0.000,,,
100,22,3676,5447.251,57.017,,,,,,,,,,,3676,146.220,0.027,,,
100,23,2877,4479.465,6.502,,,,,,,,,,,2877,121.603,0.002,,,
100,24,512,1153.119,3.250,,,,,,,,,,,512,39.670,0.004,,,
100,25,512,1162.958,1.847,,,,,,,,,,,512,30.599,0.002,,,
100,26,558,1245.211,2.038,,,,,,,,,,,558,35.291,0.003,,,
100,27,132,201.081,2.524,,,,,,,,,,,132,7.868,0.002,,,
100,28,384,789.886,1.491,,,,,,,,,,,384,22.263,0.000,,,
100,29,612,2116.178,5.401,17,111.178,2.780,,,,,18,1.231,0.000,612,94.848,0.040,,,
100,30,4682,10373.33,147.938,,,,,,,,,,,4682,348.044,0.174,,,
100,31,1531,3341.890,4.820,9,121.374,180.379,,,,,16,1.221,0.001,1531,111.394,0.002,,,
