TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,0,0
2273,0,0
2376,0,0
2479,0,0
2582,0,0
2686,0,0
2789,0,0
2893,0,0
2996,0,0
3100,0,0
3203,0,0
3307,0,0
3411,0,0
3514,0,0
3618,0,0
3721,0,0
3824,0,0
3928,674624,89681688
4031,2343736,335393336
4136,4142624,600407536
4240,5876748,855714544
4344,7689188,1123504000
4448,9287736,1361034480
4552,11066772,1622280784
4656,12623376,1852478136
4760,14336192,2106709784
4864,15955488,2344988880
4968,17661920,2597243520
5072,19396856,2853352912
5176,20970792,3085998776
5280,22843292,3362556552
5385,24510916,3608156368
5489,25861888,3807714232
5593,27220840,4007214192
5697,28606840,4213654360
5802,30026132,4405909168
5906,31666008,4649006704
6010,33540944,4925101248
6115,35139996,5161444696
6219,36864208,5416325696
6323,38677040,5684020024
6427,40209788,5910147552
6532,41760008,6139104104
6636,43080964,6334224040
6740,44373276,6525096304
6844,45767536,6731052560
6949,47045624,6920353144
7053,48713780,7167677672
7157,50583396,7443333800
7261,52247632,7689578832
7365,53998584,7947727272
7469,55881108,8225525848
7573,57609996,8480729456
7677,59013192,8685900032
7781,60404764,8891074584
7885,61758452,9091054320
7990,63115780,9290215128
8094,64778784,9537858128
8198,66488660,9790154128
8302,68384540,10071104336
8406,70037968,10313618696
8511,71766520,10569612280
8615,73426416,10814653736
8719,75049716,11054566552
8824,76340768,11243788552
8928,77741636,11450605096
9032,79031008,11642585808
9136,80553816,11867972992
9240,82197248,12110582480
9344,88253528,12387651912
9448,112318828,12628617456
9552,190254876,12879341896
9656,306379360,13089042800
9760,487288976,13290021544
9864,655239916,13488498912
9968,942407252,13622141288
10072,1136611652,13805421792
10177,1396291808,13952994152
10280,1664174568,14103225800
10384,1871445424,14286853544
10488,2056927024,14488554560
10591,2116143292,14753938344
10695,2243897920,14961521040
10799,2413396768,15119037912
10903,2513966948,15347128792
11007,2567240880,15620219344
11111,2840564032,15773940616
11216,3026000284,15964313768
11320,3331441888,16082074552
11424,3610136088,16214769744
11528,3923547412,16287433400
11632,4311421368,16316188456
11736,4683226864,16336036416
11840,5031427628,16362392520
11944,5391441092,16375216456
12048,5776324792,16389856872
12152,6129903244,16397052160
12256,6492743636,16415101712
12360,6840226224,16431857576
12464,7183682200,16445766896
12568,7557530044,16462170016
12672,7918005564,16470431448
12776,8261197996,16496527288
12880,8520059196,16544396512
12984,8873805564,16571313968
13089,9198561004,16610807928
13193,9479372320,16649921448
13297,9749658416,16700708656
13401,10093873692,16718803080
13505,10407587884,16751190408
13609,10761268004,16771700224
13713,11031325492,16819950616
13818,11353079436,16846131864
13921,11593392976,16895493088
14025,11971976472,16911400472
14129,12314846652,16931448928
14234,12633603836,16969326144
14338,12928570896,17018506400
14442,13232463312,17064142504
14546,13540839856,17117867088
14650,13811965156,17177918776
14755,14089077976,17235141704
14859,14406241620,17270062104
14963,14643742068,17310494592
15067,14888373840,17334978248
15172,15014775268,17394872152
15276,15161976112,17430841896
15380,15212316252,17468759112
15484,15255923700,17505699592
15588,15259014608,17543207920
15691,15302602540,17554133224
15795,15304740004,17596718960
15898,15349773400,17608928832
16002,15378166420,17629507616
16106,15409038352,17653391360
16209,15443859280,17670143528
16312,15480385448,17688947560
16415,15507939860,17709864592
16519,15530431608,17745811232
16622,15530791072,17798967104
16726,15596362996,17841190808
16830,15642206004,17926840952
16935,15754241880,17964041096
17039,15876136540,17985439568
17143,16020266216,17986836728
17248,16159331676,17988194440
17352,16299609536,17989554880
17456,16438938876,17990902320
17561,16575030876,17992225000
17665,16715415960,17993585000
17768,16856700076,17994957000
17873,16995911356,17996305000
17977,17137812808,17997684120
18081,17281472076,17999074760
18185,17420013732,18000404760
18289,17420013732,18000404760
