TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1861,0,0
1964,0,0
2067,0,0
2170,0,0
2274,0,0
2377,0,0
2480,0,0
2583,0,0
2686,0,0
2789,0,0
2892,0,0
2996,0,0
3099,0,0
3202,0,0
3306,0,0
3409,0,0
3513,0,0
3617,0,0
3722,0,0
3826,0,0
3929,0,0
4034,0,0
4137,0,0
4241,0,0
4345,0,0
4450,0,0
4553,0,0
4657,0,0
4761,0,0
4865,0,0
4969,0,0
5073,0,0
5177,0,0
5281,0,0
5384,0,0
5488,0,0
5592,0,0
5696,0,0
5799,0,0
5903,270508,41380680
6008,1060780,158032424
6112,2224292,330453992
6217,3632676,534392680
6321,6791664,984154528
6426,17444944,1409751368
6530,73295332,1830388416
6635,137523008,2197238032
6740,206266772,2593598608
6844,263557308,2965266888
6949,350969744,3315254280
7053,505433848,3633296176
7158,672101840,3925128816
7262,822001220,4239572136
7367,970806372,4538947224
7471,1138592088,4836622640
7576,1293831940,5140379744
7680,1466757436,5439073168
7785,1624313568,5743356464
7889,1811624412,6011208784
7994,2036511648,6214928504
8099,2297367700,6374124408
8203,2542853804,6542909176
8308,2806553348,6705003528
8412,3074004312,6856982136
8516,3318867356,7009910872
8621,3567994268,7167666016
8725,3828931036,7311038960
8830,4085846928,7477343624
8934,4308455660,7689092512
9039,4493657484,7922010144
9143,4652287048,8242834296
9248,4808742048,8528917304
9352,4982692556,8824202168
9457,5143199840,9109457480
9561,5284361452,9386677488
9666,5438162436,9701256648
9770,5617413052,9962287248
9875,5825092936,10207422968
9979,6036479552,10386411520
10084,6274689672,10564343784
10188,6542892460,10714948312
10292,6806149460,10862592744
10397,7060471024,11024850144
10501,7327408052,11179909096
10606,7571644564,11332554912
10710,7784353104,11497115128
10815,8027544408,11635650336
10919,8232761480,11806064800
11024,8393320000,12041130232
11128,8564407468,12268809168
11233,8740088004,12567118352
11337,8899694624,12831428560
11442,9064977844,13148370368
11546,9217022884,13416870832
11650,9378276092,13655963656
11755,9548583936,13954588976
11859,9737064772,14212268952
11964,9933462748,14404909552
12068,10172508660,14601875784
12173,10413753156,14765643576
12277,10641934136,14891796968
12382,10839128708,15066382520
12486,11087500232,15203368472
12590,11333497432,15334369912
12695,11572931248,15469766416
12799,11766387148,15656134880
12903,12001346080,15793099968
13008,12220117148,15956691112
13112,12427043440,16128783528
13217,12616885868,16330330792
13321,12751569040,16469028648
13426,12893764440,16615165248
13530,12968033012,16698028976
13634,13061138588,16796754664
13738,13141874016,16905118440
13842,13269229776,17049752664
13947,13376226480,17209428032
14051,13493962288,17360954040
14155,13620448948,17517876216
14259,13726672012,17664697888
14364,13829070552,17802602032
14468,13891788056,17933061816
14572,14051639660,18050800928
14677,14214752476,18180075064
14781,14419481952,18253723296
14885,14634621660,18304154728
14990,14881912172,18317235216
15094,15126479816,18334973880
15198,15390231984,18339397568
15302,15630219120,18353336312
15407,15881231468,18357293384
15511,16129350628,18370818472
15615,16379801624,18377598536
15720,16628319376,18387828920
15824,16880057932,18396264272
15929,17113793712,18411649528
16033,17347117276,18433612448
16137,17510159144,18454675856
16241,17678437744,18474359376
16344,17804936188,18508027016
16448,17883302988,18540922352
16552,17923008620,18580492712
16656,17955455748,18610893032
16760,17975727872,18651772864
16863,17995832884,18689863032
16967,18021079616,18725583144
17070,18058121240,18746212856
17173,18093496156,18767554528
17277,18128771544,18790162432
17380,18166383708,18808720656
17484,18200597356,18835231576
17587,18235879280,18853873936
17690,18273886084,18876513896
17794,18313369224,18894482048
17897,18335601716,18936466032
18001,18364195468,18975039448
18104,18393862688,19008672320
18208,18416256188,19050607312
18312,18445222356,19090926168
18415,18486678748,19161589456
18519,18550336164,19228142184
18623,18622339920,19281730272
18727,18697607940,19333776320
18833,18777301536,19382927072
18937,18837840028,19451344944
19041,18884941092,19530191880
19145,18937781744,19597041208
19250,18988803004,19678783344
19354,19081873820,19705325872
19459,19188392952,19706357792
19564,19295711468,19707398712
19668,19397388688,19708380832
19771,19495469388,19737982656
19875,19512437168,19818057648
