TIME,RECV,XMIT
5,0,0
107,0,0
210,418684,62110312
313,818920,118724040
416,1204648,175627128
520,1952804,286331424
622,21016972,356391208
725,46240432,367746776
829,70844416,406844632
931,95180860,407816840
1035,118772520,451348544
1138,144389508,458477064
1241,169893564,480296032
1344,199796856,509918712
1447,228617192,534355272
1550,255071804,543038304
1653,282071060,571849384
1755,308787732,589521944
1858,334687108,608034520
1961,365407904,638390968
2064,390050480,654134832
2167,415113912,671873976
2270,440157156,686271640
2373,463645160,713108664
2476,488069720,727113408
2579,513862612,760941184
2682,544498840,778370904
2785,572946480,809135496
2888,599403976,817679904
2991,625768140,844063288
3094,651451236,861599496
3196,678421624,885819616
3299,710311272,906087952
3402,736279472,934930120
3505,764647872,952845448
3608,791295244,960282120
3711,817083592,992813736
3814,843999408,1009363440
3917,870332996,1031480336
4020,900171648,1054255632
4122,923802096,1071714344
4225,949499360,1090963128
4328,974134376,1105606816
4431,998159160,1132900528
4534,1022266888,1149928688
4637,1052790220,1181214008
4740,1079531420,1203276864
4843,1105677568,1227029752
4946,1134822496,1238096304
5048,1160789800,1266452560
5151,1186461948,1282437768
5254,1213015232,1305855640
5357,1244920112,1329358192
5460,1271273664,1353208208
5562,1298159296,1365309576
5665,1326348600,1387192176
5768,1353096296,1409397792
5871,1379008720,1429912192
5974,1409687404,1454072912
6077,1434357756,1473915552
6180,1458820704,1493570072
6283,1484450040,1502867640
6386,1507746236,1532821208
6489,1532396960,1549756240
6592,1556468060,1573571712
6694,1587794688,1601001736
6797,1614769108,1626640232
6900,1640426472,1639537848
7003,1669847040,1660529072
7106,1695564184,1682710280
7209,1722516372,1704862128
7312,1752153500,1727919392
7415,1776622244,1747658184
7518,1801087152,1767610496
7620,1825683612,1776571320
7723,1850213172,1806061112
7826,1874666152,1824251624
7929,1898929984,1844983640
8032,1930720408,1874156648
8135,1957033036,1899878272
8238,1983722464,1913385880
8341,2009807908,1929067296
8444,2038040136,1957286248
8547,2064981600,1977576896
8650,2095858868,2001834744
8752,2125321744,2027890160
8855,2157229592,2050851032
8958,2187860704,2067935056
9061,2219801340,2095805360
9164,2249042896,2120816504
9267,2310126216,2195971776
9370,2395351112,2282528192
9473,2530787468,2329541632
