TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1241,0,0
1344,0,0
1447,0,0
1551,0,0
1654,0,0
1756,0,0
1860,0,0
1963,0,0
2066,0,0
2169,92820,14140984
2272,419132,61911784
2375,672644,99532840
2478,976584,145099152
2581,1307600,193726104
2684,1550220,228989640
2787,1822772,269795416
2890,2126208,314464216
2993,2422532,358343040
3096,2773316,410158848
3199,3046288,449980256
3302,3277092,484098120
3405,3583524,529511400
3507,3834124,566354888
3610,4137840,611896384
3713,4397512,650079936
3816,61530032,712537392
3919,126402260,770962016
4022,181701004,828885392
4125,231075664,882406112
4228,289379772,936443384
4331,338171124,992538048
4433,393888744,1053067208
4536,458172612,1105058776
4639,507861720,1159428352
4742,559590512,1220422000
4845,615761636,1274239136
4948,675495540,1327383616
5051,735110564,1383723864
5153,790735828,1446679816
5256,849268052,1499634808
5359,902219556,1562734376
5462,959450548,1624418864
5565,1016087572,1674415768
5668,1070510828,1728149808
5771,1093022624,1752988096
