TIME,RECV,XMIT
3,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1654,696020,102196544
1757,1591572,233704800
1859,2171004,319568160
1962,2513696,370172120
2065,3754012,554153808
2168,4578192,674486592
2271,5028628,741394664
2374,5242940,772629736
2477,5336264,786415024
2580,5336264,786415024
2683,5517256,813158400
2786,5826376,859150720
2889,6202276,914974312
2992,7182416,1060573920
3095,8254900,1217642656
3198,8709396,1285415152
3301,8994604,1326890960
3404,9113464,1344626128
3507,65328812,1349685056
3610,209665564,1463883096
3713,277155544,1688618120
3816,393470800,1828763720
3919,567169240,1882548408
4022,708960236,1982626184
4125,807706792,2150350168
4228,973036180,2178107816
4331,1158432292,2179906176
4434,1334527120,2181618312
4537,1515364520,2183372312
4640,1697851520,2185142312
4743,1879464232,2186902312
4846,2062957488,2188683472
4949,2163055216,2189640472
