RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.80,0.80,0:03.63,4127,541498,21448,7944
90,2.67,4.72,0:07.41,132089,916733,534624,531562
80,2.66,4.62,0:07.30,134540,914284,534624,531558
70,2.59,4.53,0:07.15,133455,915373,534625,531606
60,2.75,4.83,0:07.61,134987,913844,534626,531627
50,2.71,4.64,0:07.38,137771,911063,534634,531643
40,2.76,4.21,0:07.00,135469,913368,534632,531643
30,2.82,4.68,0:07.53,136776,912066,534636,531627
20,2.62,4.21,0:06.85,134691,914157,534626,531612
10,2.79,3.94,0:06.75,135858,912988,534637,531632
5,2.66,4.02,0:06.71,134674,914174,534632,531589
