TIME,RECV,XMIT
4,0,0
106,0,0
209,346584,52481704
313,782292,116155424
416,1173088,173281856
519,1563016,230879792
622,1952188,288428096
725,2343012,346447904
828,2744756,405704376
931,3148880,465759096
1034,3553424,525193416
1137,3954552,584408528
1240,4382252,647788592
1343,4821320,713013312
1446,5254340,777166808
1549,5687192,840526192
1652,6111616,903054240
1755,6520920,963501880
1858,6928852,1023585552
1961,7341712,1084740448
2064,7742364,1143881112
2166,8148476,1203861384
2269,8569708,1266550736
2372,8999088,1330187232
2475,9425668,1393319136
2578,9858240,1456806736
2681,10279360,1518681296
2784,10686648,1579459816
2887,11102420,1640494768
2990,11512368,1700830736
3093,11921672,1761592712
3196,12341168,1823674072
3299,12763212,1885664440
3401,13187272,1948490280
3504,13614104,2011374024
3607,14033544,2073347848
3710,113991904,2169852960
3813,286694084,2171548880
3916,457526184,2173205640
4019,631621320,2174894160
4122,800705320,2176536000
4225,974564912,2178221640
4328,1148922664,2179911640
4431,1323009920,2181599640
4534,1497867520,2183296280
4637,1672881832,2184993640
4740,1847871400,2186691640
4843,2021821720,2188379600
4946,2176698540,2189867840
