TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,234720,33203928
1344,477228,68868656
1447,719848,104727776
1550,962524,140640664
1653,1206320,176652816
1756,1448856,212482984
1859,1691756,248354512
1962,1934572,284267400
2064,2174504,319671560
2167,2417908,355725072
2270,2661536,391613144
2373,2905080,427451584
2476,3147056,463285888
2579,3385028,498446024
2682,3627564,534334096
2784,3870100,570135312
2887,4114036,606197096
2990,4357160,642081032
3093,25821876,674376440
3196,57340184,706022688
3299,88255528,737154088
3402,118643232,767693416
3504,150354560,796642976
3607,200026516,848499288
3710,261265312,908382744
3813,322553708,968329200
3916,383890760,1027481744
4019,432944000,1081279792
4121,492934364,1137710216
4224,543221540,1192326544
4327,597758860,1254932640
4430,655495796,1303438312
4533,706351468,1357918736
4636,765892492,1413680064
4738,810129600,1463173488
4841,844922828,1498098056
4944,879779288,1533213480
5047,913838312,1567493984
5150,947103548,1600831992
5253,1000416024,1643064648
5356,1055806208,1691977480
5459,1115484568,1740477192
5561,1183094152,1792576856
5664,1246005688,1844163512
5767,1310946864,1894790656
5870,1357888472,1938350624
5973,1396680032,1974037712
6076,1429553468,2006646720
6179,1448866584,2025951512
6282,1504694968,2075726616
6385,1539736908,2128978176
6488,1593441124,2170084368
6591,1597224916,2175438200
6694,1597224916,2175438200
6797,1597224916,2175438200
6900,1597224916,2175438200
7002,1597224916,2175438200
7106,1597224916,2175438200
7209,1604885728,2182677512
7312,1623592448,2201691136
7414,1623592448,2201691136
7517,1623592448,2201691136
7620,1623592448,2201691136
7723,1623592448,2201691136
7825,1623592448,2201691136
7929,1623592448,2201691136
8031,1623592448,2201691136
8134,1623592448,2201691136
8237,1623592448,2201691136
8341,1623592448,2201691136
8444,1623592448,2201691136
8546,1623592448,2201691136
8649,1623592448,2201691136
8752,1623592448,2201691136
8855,1623592448,2201691136
8958,1623592448,2201691136
9062,1623592448,2201691136
9165,1623592448,2201691136
9268,1623592448,2201691136
9371,1623592448,2201691136
9474,1623592448,2201691136
9578,1623592448,2201691136
9681,1623592448,2201691136
9784,1623592448,2201691136
9887,1623592448,2201691136
9990,1623592448,2201691136
10094,1623592448,2201691136
10197,1623592448,2201691136
10300,1623592448,2201691136
10403,1623592448,2201691136
10506,1623592448,2201691136
10610,1623592448,2201691136
10713,1623592448,2201691136
10816,1623592448,2201691136
10919,1623592448,2201691136
11022,1623592448,2201691136
11125,1623592448,2201691136
11228,1623592448,2201691136
11332,1623592448,2201691136
11435,1623592448,2201691136
11537,1623592448,2201691136
11640,1623592448,2201691136
11743,1623592448,2201691136
11846,1623592448,2201691136
11949,1623592448,2201691136
12052,1623592448,2201691136
12155,1623592448,2201691136
12259,1623592448,2201691136
12362,1623592448,2201691136
12465,1623592448,2201691136
12568,1623592448,2201691136
12671,1623592448,2201691136
12774,1623592448,2201691136
12878,1625914356,2203184256
12981,1662222548,2234576832
13084,1714840544,2282291040
13187,1765565900,2332996272
13290,1819903332,2375789256
13392,1869201644,2421990216
13495,1921764816,2470722616
13598,1976522080,2520119832
13701,2002563912,2543258576
13805,2027904240,2564272928
