TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,630560,94747488
622,12263720,225346584
725,12511160,225348984
828,23237684,225453024
932,23435636,225454944
1036,34228144,225559624
1139,34434344,225561624
1242,44939412,229542832
1344,55907212,231138072
1448,56369100,231142552
1551,67393036,239239704
1654,67393036,239239704
1757,79439920,243111792
1861,82963284,244581064
1964,98165160,249124792
2067,104999160,249269656
2171,116979940,249468576
2274,116979940,249468576
2377,136032820,249655376
2481,154978476,249837136
2584,154978476,249837136
2687,168056840,251353592
2790,177748408,251474408
2894,194345308,252526704
2997,201505916,252794672
