TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
624,0,0
727,0,0
831,0,0
934,0,0
1037,0,0
1141,0,0
1245,0,0
1348,0,0
1452,0,0
1556,0,0
1659,0,0
1763,0,0
1866,0,0
1969,0,0
2073,0,0
2177,0,0
2280,0,0
2383,0,0
2487,0,0
2591,347104,50053952
2694,33078232,103213248
2798,37899188,103256248
2901,37919808,103256448
3005,37965172,103256888
3108,37977544,103257008
3212,38006412,103257288
3316,38035280,103257568
3419,38051776,103257728
3523,38072396,103257928
3626,38093016,103258128
3730,38130132,103258488
3833,38160704,105947008
3937,38294172,117743400
4040,38339536,117743840
4144,38426140,117744680
4247,39167444,214366776
4351,116996044,300588064
4453,169662592,441102032
4557,256801976,524101736
4660,345171808,569101056
4763,346953376,569116336
4866,347980252,569126296
4970,349007128,569136256
5073,350034004,569146216
5177,351048508,569156496
5280,352075384,569166416
5384,352867192,569173736
5487,366655388,601206344
5590,380675196,674157720
5693,395138672,712201680
5796,410276720,712819904
5899,427374700,733292784
6003,445503604,744432920
6105,464962524,835404376
6208,485875960,864313232
6311,507447348,870436632
6414,529041624,881390720
6517,550257748,899065944
6621,571170684,925563752
6724,591927792,959119512
6826,613173368,979373800
6929,637498244,993745648
7032,665342696,1009738584
7135,703510432,1029264536
7238,746826184,1055011904
7341,798719924,1098773600
7444,809508324,1114812568
7547,821190988,1134894416
7650,833819848,1154545848
7753,847310440,1171267960
7856,864160912,1173227904
7959,884279688,1204473992
8062,905092784,1274636328
8165,927861784,1302070168
8268,951379452,1318626176
8371,975043588,1339731544
8474,998736504,1359040672
8577,1022218664,1389757144
8680,1049827204,1416605296
8783,1082336460,1436904448
8886,1126808032,1458074352
8989,1184467524,1467231864
9093,1224885544,1498765992
9196,1250412528,1625269200
9299,1275199080,1681829848
9402,1325891900,1706175024
9505,1392024556,1758365720
9608,1452195172,1872139672
9726,1524021312,1971668936
9828,1586087916,2075768320
9931,1657626328,2105520096
10035,1738098312,2131198504
10138,1808135316,2169713136
