TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,328104,48465648
520,747824,112151776
623,1141252,168579224
726,1534792,227769520
830,1799644,266891944
933,2137716,316830008
1036,2524928,372996888
1140,2754304,407908864
1243,3274404,483676248
1346,3471272,513521624
1449,4061680,599968160
1553,4241356,626508872
1656,4646964,687481784
1759,4915848,726140976
1862,5413632,799980984
1966,5644268,833867232
2069,5896912,871910160
2172,6480952,947583056
2275,6759188,988682488
2379,7147128,1046818104
2482,7448828,1092111440
2585,7861184,1151463040
2688,8076000,1184021632
2791,8632360,1265376752
2894,8837152,1295627456
2997,9199668,1350164752
3100,9622748,1411671208
3203,9922320,1455922272
3306,10275036,1508131000
3409,10646596,1564177936
3512,10981224,1612602224
3615,11222780,1648498568
3718,11724316,1722971384
3821,11965368,1757709648
3924,12295488,1806828784
4027,12615276,1853710344
4129,13053252,1918405656
4232,13312392,1956709152
4335,16378932,1996507512
4438,95506452,2067126360
4541,170034420,2170459960
4644,334627412,2172058496
4748,497702744,2173638896
4851,654534340,2175161056
4954,808850296,2176657856
5057,970820396,2178227536
5160,1109032132,2179567736
5263,1272981752,2181159976
5366,1438489688,2182766216
5469,1574668848,2184085096
5572,1734651180,2185638856
5675,1899013200,2187231976
5779,2059308956,2188786296
5882,2176628508,2189912616
