TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
315,0,0
418,0,0
522,0,0
625,0,0
729,0,0
833,0,0
936,0,0
1040,0,0
1143,0,0
1247,0,0
1350,19180,3039960
1454,549528,82500792
1557,1060024,156580688
1660,1434188,212975048
1764,1899688,281570608
1867,2306052,340636824
1971,2700348,399202584
2074,3210564,474581184
2178,3664444,541344496
2282,4145204,612305848
2385,4354532,643234856
2489,4669672,689777264
2592,4841984,715494912
2696,5085416,751403664
2799,5480608,809564096
2903,5936140,877162880
3006,6322708,933954296
3109,6812092,1007004328
3212,7227808,1067650496
3315,7427252,1097280800
3418,7690536,1136002032
3521,7901880,1167220560
3624,8144444,1203050728
3727,8589392,1268928936
3830,9014040,1332536480
3933,9541728,1410979856
4036,10060232,1486039984
4139,10313408,1523520416
4242,60287004,1583474128
4345,171625060,1646386016
4448,238786024,1722849392
4550,309794188,1820471440
4654,378645668,1903709080
4757,464622768,1990432000
4860,562879268,2051019872
4963,657362756,2118935072
5066,749407604,2176170184
5169,889186460,2177530384
5273,1034165680,2178937944
5376,1180732640,2180361624
5479,1323955036,2181747424
5583,1460669808,2183074824
5686,1604473752,2184485208
5789,1749391112,2185893288
5892,1891335068,2187267168
5996,2034593320,2188657248
6098,2173841440,2190006288
