RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.78,1.25,0:08.03,105,678514,0,240
90,7.06,1.12,0:08.18,1883,687619,0,12504
80,6.89,1.30,0:08.19,1922,687872,0,12920
70,6.92,1.71,0:08.63,10653,710337,0,27919
60,7.13,2.10,0:09.23,45781,724068,0,60742
50,7.39,2.69,0:10.10,83818,824104,0,128566
40,7.33,3.56,0:10.90,125518,915894,0,286026
30,7.68,3.70,0:11.40,194744,970385,0,442342
20,7.77,4.31,0:12.10,244330,1016047,0,567145
10,8.09,4.91,0:13.04,317513,1058996,0,753099
5,8.83,5.13,0:14.00,343069,1105807,0,838550
